plant          ,year           ,CD-productivity
31310054.,88.000000,12.406714
31310054.,89.000000,9.3831010
31310339.,81.000000,11.476218
31310339.,82.000000,13.723701
31310339.,83.000000,22.184677
31310339.,84.000000,12.501212
31310339.,85.000000,14.592009
31310339.,86.000000,16.424062
31310339.,87.000000,15.999602
31310339.,88.000000,15.638437
31310339.,89.000000,14.370479
31310339.,90.000000,17.019864
31310339.,91.000000,15.661277
31310340.,81.000000,12.554828
31310340.,82.000000,26.258037
31310340.,83.000000,29.534133
31310340.,84.000000,32.971304
31310340.,85.000000,31.521302
31310340.,86.000000,30.282160
31310340.,87.000000,35.807153
31310340.,88.000000,34.758625
31310340.,89.000000,37.947959
31310340.,90.000000,35.131241
31310340.,91.000000,33.940115
31310341.,81.000000,28.598720
31310341.,82.000000,25.299491
31310341.,83.000000,20.032497
31310341.,84.000000,24.562181
31310341.,85.000000,21.873006
31310341.,86.000000,21.724393
31310341.,87.000000,24.286552
31310341.,88.000000,25.547129
31310341.,89.000000,27.401668
31310341.,90.000000,27.098287
31310341.,91.000000,26.782529
31310342.,81.000000,101.70219
31310342.,82.000000,72.327137
31310342.,83.000000,70.302952
31310342.,84.000000,89.396456
31310342.,85.000000,88.827901
31310342.,86.000000,91.743832
31310342.,87.000000,51.716513
31310342.,88.000000,57.724616
31310342.,89.000000,57.847400
31310342.,90.000000,34.482354
31310342.,91.000000,48.478795
31310343.,81.000000,12.801471
31310343.,82.000000,23.262711
31310343.,83.000000,15.094162
31310343.,84.000000,13.792297
31310343.,85.000000,11.924631
31310343.,86.000000,9.6900100
31310343.,87.000000,18.225998
31310343.,88.000000,21.368382
31310343.,89.000000,12.640049
31310343.,90.000000,11.193072
31310343.,91.000000,8.5498848
31310344.,81.000000,16.420562
31310344.,82.000000,18.615929
31310344.,83.000000,13.759941
31310344.,84.000000,13.199079
31310344.,85.000000,13.459636
31310344.,86.000000,16.350973
31310344.,87.000000,17.462339
31310344.,88.000000,16.769442
31310344.,89.000000,16.189276
31310344.,90.000000,16.936923
31310344.,91.000000,14.198419
31310345.,81.000000,12.673741
31310345.,82.000000,20.898680
31310345.,83.000000,24.180763
31310345.,84.000000,22.534283
31310345.,85.000000,18.835506
31310345.,86.000000,18.779683
31310345.,87.000000,14.825293
31310345.,88.000000,13.848913
31310345.,89.000000,11.141787
31310345.,90.000000,12.776739
31310345.,91.000000,13.386970
31310346.,81.000000,10.578858
31310346.,82.000000,10.364307
31310346.,83.000000,10.803921
31310346.,84.000000,8.5650435
31310346.,85.000000,9.5257950
31310346.,86.000000,8.4241257
31310346.,87.000000,8.9081745
31310346.,88.000000,8.7414672
31310346.,89.000000,10.214341
31310346.,90.000000,10.388345
31310346.,91.000000,12.421466
31310347.,81.000000,7.1344877
31310347.,82.000000,6.4984372
31310347.,83.000000,9.1226183
31310347.,84.000000,6.8682810
31310347.,85.000000,6.8792598
31310347.,86.000000,7.3084514
31310347.,87.000000,6.1096222
31310347.,88.000000,5.7437666
31310347.,89.000000,5.8535170
31310347.,90.000000,6.9039444
31310347.,91.000000,6.9472062
31310348.,81.000000,12.755662
31310348.,82.000000,18.378078
31310348.,83.000000,13.529167
31310348.,84.000000,10.758778
31310348.,85.000000,12.493530
31310348.,86.000000,11.630348
31310348.,87.000000,9.7789132
31310348.,88.000000,10.296885
31310348.,89.000000,9.7465545
31310348.,90.000000,9.1712261
31310348.,91.000000,7.5922378
31310349.,81.000000,16.452516
31310349.,82.000000,11.933835
31310349.,83.000000,13.978577
31310349.,84.000000,11.068563
31310349.,85.000000,11.892360
31310349.,86.000000,9.9215284
31310350.,81.000000,30.240054
31310350.,82.000000,29.339915
31310350.,83.000000,33.667133
31310350.,84.000000,31.823378
31310350.,85.000000,32.358512
31310350.,86.000000,26.890811
31310350.,87.000000,26.671019
31310350.,88.000000,24.846214
31310350.,89.000000,26.715546
31310350.,90.000000,27.800618
31310350.,91.000000,28.181183
31310351.,81.000000,12.429019
31310351.,82.000000,8.3345668
31310351.,83.000000,7.2842135
31310351.,84.000000,7.4907253
31310351.,85.000000,7.9875859
31310351.,86.000000,9.3567249
31310351.,87.000000,9.6333363
31310351.,88.000000,12.207607
31310351.,89.000000,12.419305
31310351.,90.000000,11.393452
31310351.,91.000000,12.194005
31310352.,81.000000,8.8509111
31310352.,82.000000,5.3935036
31310352.,83.000000,5.0200016
31310352.,84.000000,3.7842374
31310352.,85.000000,3.6763066
31310352.,86.000000,5.5975857
31310352.,87.000000,3.3832840
31310352.,88.000000,3.7008750
31310353.,81.000000,11.245042
31310353.,82.000000,11.585874
31310353.,83.000000,13.385300
31310353.,84.000000,14.089131
31310353.,85.000000,13.477285
31310353.,86.000000,12.920263
31310353.,87.000000,13.560785
31310353.,88.000000,14.271277
31310353.,89.000000,14.900364
31310353.,90.000000,15.837446
31310353.,91.000000,16.148167
