plant       ,year        ,productivity
32410762.,81.000000,27.862742
32410762.,82.000000,27.874521
32410762.,83.000000,27.774657
32410762.,84.000000,27.003684
32410762.,85.000000,25.627659
32410762.,86.000000,25.976333
32410762.,87.000000,26.695359
32410762.,88.000000,27.137749
32410762.,89.000000,26.766933
32410762.,90.000000,25.951695
32410762.,91.000000,23.601096
32410763.,81.000000,32.924135
32410763.,82.000000,35.733184
32410763.,83.000000,33.955947
32410763.,84.000000,33.067021
32410763.,85.000000,31.504732
32410763.,86.000000,33.590301
32410763.,87.000000,33.590058
32410763.,88.000000,34.116661
32410763.,89.000000,36.676449
32410763.,90.000000,37.928611
32410763.,91.000000,28.094153
32410764.,81.000000,16.277888
32410764.,82.000000,18.179567
32410764.,83.000000,19.446780
32410764.,84.000000,19.645926
32410764.,85.000000,20.625130
32410764.,86.000000,17.407220
32410764.,87.000000,16.481199
32410764.,88.000000,16.913083
32410764.,89.000000,16.103509
32410764.,91.000000,15.437587
32410765.,81.000000,24.717287
32410765.,82.000000,24.896224
32410765.,83.000000,19.029639
32410765.,84.000000,17.585302
32410765.,85.000000,12.983338
32410766.,81.000000,21.704204
32410766.,82.000000,17.533305
32410766.,83.000000,19.242034
32410766.,84.000000,17.271836
32410766.,85.000000,14.244712
32410766.,86.000000,14.482189
32410766.,87.000000,14.156215
32410766.,88.000000,14.009536
32410767.,81.000000,16.624513
32410767.,82.000000,22.352946
32410767.,83.000000,22.780103
32410767.,84.000000,15.811747
32410767.,85.000000,15.526521
32410767.,86.000000,13.937793
32410767.,87.000000,16.957490
32410767.,88.000000,16.621127
32410767.,89.000000,16.295038
32410767.,90.000000,16.903694
32410767.,91.000000,17.612366
32410768.,81.000000,16.235516
32410768.,82.000000,18.789977
32410768.,83.000000,16.305534
32410768.,84.000000,15.339042
32410768.,85.000000,14.226410
32410768.,86.000000,13.919073
32410768.,87.000000,14.567214
32410768.,88.000000,15.355005
32410768.,89.000000,15.470739
32410768.,90.000000,14.090213
32410768.,91.000000,14.250645
