plant       ,year        ,productivity
10313.000,87.000000,29.034475
10808.000,81.000000,29.852790
10808.000,82.000000,45.398598
10808.000,83.000000,40.093085
10808.000,84.000000,40.686702
10808.000,85.000000,29.853168
10808.000,86.000000,29.332653
10808.000,87.000000,31.408643
10808.000,88.000000,28.631562
10808.000,89.000000,30.451561
10808.000,90.000000,27.564095
10808.000,91.000000,32.720929
10809.000,81.000000,51.952047
10809.000,82.000000,50.258611
10809.000,83.000000,45.657929
10809.000,84.000000,45.129855
10809.000,85.000000,42.618688
10809.000,86.000000,39.176785
10810.000,81.000000,34.458279
10810.000,82.000000,37.480988
10810.000,83.000000,37.379498
10810.000,84.000000,35.157849
10810.000,85.000000,37.166451
10810.000,86.000000,40.885943
10810.000,87.000000,40.844983
10810.000,88.000000,60.131515
10810.000,89.000000,38.663077
10810.000,90.000000,36.560579
10810.000,91.000000,34.012309
10811.000,81.000000,36.746048
10811.000,82.000000,35.420370
10811.000,83.000000,39.989312
10811.000,84.000000,42.809899
10811.000,85.000000,37.238044
10811.000,86.000000,48.447126
10811.000,87.000000,37.826173
10812.000,83.000000,43.666059
10812.000,84.000000,42.220840
10812.000,85.000000,36.466771
10812.000,86.000000,34.888244
10812.000,87.000000,37.240463
10812.000,88.000000,40.689658
10813.000,81.000000,55.056322
10813.000,82.000000,53.084946
10813.000,83.000000,49.925333
10813.000,84.000000,52.705475
10813.000,85.000000,53.024351
10813.000,86.000000,54.095811
10813.000,87.000000,49.628932
10813.000,88.000000,53.512982
10813.000,89.000000,59.534870
10813.000,90.000000,55.255073
10813.000,91.000000,54.196160
10814.000,81.000000,42.097736
10814.000,82.000000,37.486375
10814.000,83.000000,36.361156
10814.000,84.000000,40.372748
10814.000,85.000000,45.914917
10814.000,86.000000,46.622626
10814.000,87.000000,35.141917
10815.000,81.000000,46.622778
10815.000,82.000000,47.826488
10815.000,83.000000,44.432841
10815.000,84.000000,40.982927
10815.000,85.000000,38.795408
10815.000,86.000000,39.584525
10815.000,87.000000,40.538784
10815.000,88.000000,44.089887
10815.000,89.000000,42.093877
10815.000,90.000000,45.707653
10815.000,91.000000,49.485002
10816.000,81.000000,101.50847
10816.000,82.000000,35.826432
10816.000,83.000000,45.023921
10816.000,84.000000,40.189203
10816.000,85.000000,40.468902
10816.000,86.000000,40.703573
10816.000,87.000000,30.688167
10816.000,88.000000,30.168879
10816.000,89.000000,52.427616
10816.000,90.000000,46.782395
10816.000,91.000000,41.524367
10818.000,81.000000,46.239232
10818.000,82.000000,45.064513
10818.000,83.000000,49.296479
10818.000,84.000000,47.100937
10818.000,85.000000,41.728131
10818.000,86.000000,42.663863
10818.000,87.000000,40.892145
10818.000,88.000000,43.176639
10818.000,89.000000,37.288150
10818.000,90.000000,43.069961
10818.000,91.000000,37.590982
10819.000,81.000000,43.828514
10819.000,82.000000,44.354040
10819.000,83.000000,44.943393
10819.000,84.000000,41.250350
10819.000,85.000000,32.078854
10819.000,86.000000,40.189927
10819.000,87.000000,40.571106
10819.000,88.000000,39.555634
10819.000,89.000000,43.217975
10819.000,90.000000,46.200623
10819.000,91.000000,53.930308
10820.000,81.000000,87.086806
10820.000,82.000000,76.111038
10820.000,83.000000,56.112435
10820.000,84.000000,46.792483
10820.000,85.000000,47.107009
10820.000,86.000000,39.664944
10820.000,87.000000,36.864338
10820.000,88.000000,33.687587
10820.000,89.000000,40.231820
10820.000,90.000000,47.585196
10820.000,91.000000,47.653435
10821.000,81.000000,34.723905
10821.000,82.000000,36.781056
10821.000,83.000000,28.314118
10821.000,84.000000,27.601108
10821.000,85.000000,31.111242
10821.000,86.000000,28.610460
10821.000,87.000000,29.372496
10821.000,88.000000,29.665229
10821.000,89.000000,29.768389
10821.000,90.000000,28.016656
10821.000,91.000000,29.762251
10822.000,81.000000,31.119760
10823.000,81.000000,34.638666
10823.000,82.000000,43.027147
10823.000,83.000000,28.668217
10823.000,84.000000,38.626719
10823.000,85.000000,32.692816
10823.000,86.000000,37.420777
10823.000,87.000000,34.974841
10823.000,88.000000,31.889800
10824.000,81.000000,34.295503
10824.000,82.000000,43.427495
10824.000,83.000000,56.266063
10824.000,84.000000,35.894241
10824.000,85.000000,28.913114
10824.000,86.000000,29.656111
10824.000,87.000000,31.228216
10824.000,88.000000,34.555513
10824.000,89.000000,32.888278
10824.000,90.000000,32.509915
10824.000,91.000000,43.707613
10825.000,81.000000,50.015856
10825.000,82.000000,34.119561
10825.000,83.000000,34.272651
10825.000,84.000000,41.660008
10825.000,85.000000,40.264122
10825.000,86.000000,34.436982
10825.000,87.000000,36.666708
10825.000,88.000000,32.878469
10825.000,89.000000,28.866164
10825.000,90.000000,29.282077
10825.000,91.000000,43.061115
10826.000,81.000000,57.148043
10826.000,82.000000,55.163048
10826.000,83.000000,67.342394
10826.000,84.000000,42.902502
10826.000,85.000000,41.293662
10826.000,86.000000,44.799899
10826.000,87.000000,36.265458
10826.000,88.000000,35.101819
10826.000,89.000000,23.433297
10827.000,81.000000,40.286868
10827.000,82.000000,43.848310
10827.000,83.000000,46.061876
10827.000,84.000000,53.295230
10827.000,85.000000,43.861626
10827.000,86.000000,45.185619
10827.000,87.000000,41.320067
10827.000,88.000000,49.595031
10827.000,89.000000,45.819578
10827.000,90.000000,40.804966
10827.000,91.000000,44.072598
10828.000,81.000000,53.720635
10828.000,82.000000,45.033158
10828.000,83.000000,45.044900
10828.000,84.000000,42.461440
10828.000,85.000000,42.066858
10828.000,86.000000,36.440847
10828.000,87.000000,37.242764
10828.000,88.000000,37.182742
10828.000,89.000000,34.877031
10828.000,90.000000,34.789782
10828.000,91.000000,35.297005
10830.000,83.000000,34.016227
10830.000,84.000000,32.782584
10830.000,85.000000,32.807781
10831.000,81.000000,56.938741
10831.000,82.000000,42.236551
10831.000,83.000000,41.342378
10831.000,84.000000,38.456094
10831.000,85.000000,41.698886
10831.000,86.000000,37.452441
10831.000,87.000000,38.036501
10831.000,88.000000,35.166429
10831.000,89.000000,31.834522
10831.000,90.000000,39.798020
10831.000,91.000000,41.060182
10832.000,81.000000,34.996837
10832.000,82.000000,38.282755
10832.000,83.000000,38.826828
10832.000,84.000000,32.631935
10832.000,85.000000,32.164791
10832.000,86.000000,43.736586
10832.000,87.000000,37.665415
10832.000,88.000000,36.230679
10833.000,81.000000,40.828385
10833.000,82.000000,39.297634
10833.000,83.000000,41.265703
10833.000,84.000000,39.541519
10833.000,85.000000,29.300258
10834.000,82.000000,30.705762
10834.000,83.000000,34.427314
10834.000,84.000000,36.289966
10834.000,85.000000,46.333304
10834.000,86.000000,18.616136
10835.000,81.000000,34.133705
10835.000,82.000000,25.373397
10835.000,83.000000,34.048458
10835.000,84.000000,31.164452
10835.000,85.000000,33.274332
10835.000,86.000000,26.880510
10836.000,81.000000,54.751828
10836.000,82.000000,50.565245
10836.000,83.000000,45.642405
10836.000,84.000000,37.576139
10836.000,85.000000,37.491908
10836.000,86.000000,33.485045
10836.000,87.000000,30.328097
10836.000,88.000000,29.854782
10836.000,89.000000,29.885069
10836.000,90.000000,29.596846
10836.000,91.000000,29.254349
10837.000,81.000000,29.543177
10837.000,82.000000,32.207912
10837.000,83.000000,35.062047
10837.000,84.000000,33.696308
10837.000,85.000000,34.055086
10838.000,81.000000,39.899876
10838.000,82.000000,47.227488
10838.000,83.000000,45.568137
10838.000,84.000000,45.339777
10838.000,85.000000,44.123016
10839.000,81.000000,38.676043
10839.000,82.000000,40.167568
10839.000,83.000000,41.345556
10839.000,84.000000,42.541392
10839.000,85.000000,44.530532
10839.000,86.000000,46.983404
10839.000,87.000000,43.344920
10839.000,88.000000,47.302378
10839.000,89.000000,44.517939
10839.000,90.000000,41.583681
10839.000,91.000000,35.322507
10840.000,81.000000,32.248233
10840.000,82.000000,43.943791
10840.000,83.000000,32.810437
10840.000,84.000000,36.403486
10840.000,85.000000,41.723365
10841.000,81.000000,44.657008
10841.000,82.000000,42.874112
10841.000,83.000000,37.570698
10841.000,84.000000,35.557807
10841.000,85.000000,46.156208
10841.000,86.000000,41.514020
10841.000,87.000000,39.667855
10841.000,88.000000,39.778168
10841.000,89.000000,44.722666
10841.000,90.000000,42.173015
10841.000,91.000000,37.770304
10842.000,81.000000,37.145067
10842.000,82.000000,27.438901
10842.000,83.000000,21.059042
10842.000,84.000000,23.271754
10842.000,85.000000,24.867424
10842.000,86.000000,20.561660
10842.000,87.000000,18.674751
10842.000,88.000000,17.935707
10842.000,89.000000,26.379103
10842.000,90.000000,17.236668
10842.000,91.000000,19.911117
10843.000,81.000000,54.056654
10843.000,82.000000,41.976978
10843.000,83.000000,44.788944
10843.000,84.000000,35.401703
10843.000,85.000000,35.169075
10843.000,86.000000,54.288635
10843.000,87.000000,48.262055
10843.000,88.000000,49.795208
10843.000,89.000000,55.763957
10843.000,90.000000,49.223893
10843.000,91.000000,40.112039
10844.000,81.000000,31.761393
10844.000,82.000000,26.004468
10844.000,83.000000,28.808653
10844.000,84.000000,31.686216
10844.000,85.000000,32.270737
10844.000,86.000000,18.658710
10845.000,81.000000,39.971472
10845.000,82.000000,39.777893
10845.000,83.000000,42.146575
10845.000,84.000000,38.523702
10845.000,85.000000,32.792636
10845.000,86.000000,31.153123
10845.000,87.000000,37.098804
10845.000,88.000000,45.904717
10845.000,89.000000,44.101226
10845.000,90.000000,40.236454
10845.000,91.000000,39.019136
10846.000,81.000000,38.560076
10846.000,82.000000,42.151614
10846.000,83.000000,39.464345
10846.000,84.000000,38.984847
10846.000,85.000000,37.069385
10846.000,86.000000,40.091573
10846.000,87.000000,34.416809
10846.000,88.000000,41.046423
10846.000,89.000000,39.442140
10846.000,90.000000,39.628645
10846.000,91.000000,37.201310
10851.000,91.000000,45.339765
10861.000,81.000000,34.903213
10861.000,82.000000,33.013224
10861.000,83.000000,35.704544
10861.000,86.000000,29.589521
10861.000,87.000000,21.906886
10861.000,88.000000,18.464623
10861.000,89.000000,13.144181
10861.000,90.000000,21.517968
10861.000,91.000000,26.931087
11355.000,83.000000,29.320259
11355.000,86.000000,47.802675
11355.000,87.000000,41.617898
11439.000,88.000000,42.884147
11439.000,89.000000,39.745769
12101.000,81.000000,38.460671
12101.000,82.000000,33.789196
12101.000,83.000000,35.307544
12101.000,84.000000,29.996553
12101.000,85.000000,27.949047
12101.000,86.000000,28.669476
12101.000,87.000000,29.238795
12101.000,88.000000,35.001746
12101.000,89.000000,36.043367
12101.000,90.000000,36.900270
12101.000,91.000000,36.724547
12102.000,81.000000,78.041005
12102.000,82.000000,112.39998
12102.000,83.000000,87.539056
12102.000,84.000000,78.580003
12102.000,85.000000,54.092376
12102.000,86.000000,49.137402
12102.000,87.000000,48.313705
12102.000,88.000000,44.449154
12102.000,89.000000,43.973942
12102.000,90.000000,43.854147
12102.000,91.000000,43.316787
12103.000,81.000000,41.258776
12103.000,82.000000,47.512469
12103.000,83.000000,48.472700
12103.000,84.000000,61.438676
12103.000,85.000000,50.538300
12103.000,86.000000,46.484116
12103.000,87.000000,43.595652
12103.000,88.000000,40.915910
12103.000,89.000000,43.504254
12105.000,81.000000,34.222149
12105.000,82.000000,40.156238
12105.000,83.000000,43.496123
12105.000,84.000000,41.224589
12105.000,85.000000,39.697291
12105.000,86.000000,37.837496
12105.000,87.000000,38.835069
12105.000,88.000000,38.962686
12105.000,89.000000,39.141488
12105.000,90.000000,36.363958
12105.000,91.000000,43.674593
12106.000,81.000000,73.871895
12106.000,82.000000,38.950887
12106.000,83.000000,40.656782
12106.000,84.000000,39.345870
12106.000,85.000000,43.369891
12106.000,86.000000,38.931195
12106.000,87.000000,39.869273
