plant          ,year           ,CD-productivity
10423.000,81.000000,129.35473
10423.000,82.000000,94.913756
10423.000,83.000000,89.215591
10423.000,84.000000,81.646024
10423.000,85.000000,93.896429
10423.000,86.000000,102.24960
10423.000,87.000000,104.41872
10423.000,88.000000,114.62854
10423.000,89.000000,124.21775
10423.000,90.000000,112.72508
10423.000,91.000000,109.42810
10424.000,81.000000,87.509465
10424.000,82.000000,81.763951
10424.000,83.000000,67.974319
10424.000,84.000000,79.072781
10424.000,85.000000,81.406117
10424.000,86.000000,68.706113
10424.000,87.000000,73.687796
10424.000,88.000000,63.111875
10424.000,89.000000,67.060221
10424.000,90.000000,62.748373
10424.000,91.000000,54.416131
10425.000,81.000000,46.063423
10425.000,82.000000,103.96765
10425.000,83.000000,64.483097
10425.000,84.000000,68.519743
10425.000,85.000000,38.249107
10426.000,81.000000,33.766923
10426.000,82.000000,42.671759
10426.000,83.000000,49.902075
10426.000,84.000000,87.914594
10426.000,85.000000,86.442334
10426.000,86.000000,91.404265
10426.000,87.000000,69.591143
10426.000,88.000000,42.043103
10426.000,89.000000,38.312100
10426.000,90.000000,37.904972
10426.000,91.000000,40.030546
10427.000,81.000000,93.071577
10427.000,82.000000,81.387480
10427.000,83.000000,75.679844
10427.000,84.000000,80.971470
10427.000,85.000000,85.248979
10427.000,86.000000,80.309699
10427.000,87.000000,83.468401
10427.000,88.000000,75.741428
10427.000,89.000000,72.194373
10427.000,90.000000,83.234726
10427.000,91.000000,82.886455
10428.000,81.000000,127.44988
10428.000,82.000000,101.55806
10428.000,83.000000,76.259041
10428.000,84.000000,88.970604
10428.000,85.000000,93.758463
10428.000,86.000000,103.78827
10428.000,87.000000,88.967490
10428.000,88.000000,101.76054
10428.000,89.000000,101.35930
10428.000,90.000000,94.860283
10428.000,91.000000,90.417010
10429.000,81.000000,63.808327
10429.000,82.000000,51.457956
10429.000,83.000000,58.828290
10429.000,84.000000,83.918750
10429.000,85.000000,68.378538
10429.000,86.000000,68.218944
