plant          ,year           ,CD-productivity
31110001.,81.000000,4.5414531
31110001.,82.000000,4.4294160
31110001.,83.000000,4.3987287
31110001.,84.000000,4.0375901
31110001.,85.000000,4.0272161
31110001.,86.000000,3.9410382
31110001.,87.000000,3.7874656
31110001.,88.000000,3.9573512
31110001.,89.000000,3.7859584
31110001.,90.000000,3.8301874
31110001.,91.000000,3.8649830
31110002.,81.000000,4.1319177
31110002.,82.000000,3.6726571
31110002.,83.000000,3.5441265
31110002.,84.000000,3.5159262
31110002.,85.000000,3.4560746
31110002.,86.000000,2.9683299
31110002.,87.000000,2.7648209
31110002.,88.000000,2.6481866
31110002.,89.000000,2.7429019
31110002.,90.000000,2.1815943
31110003.,81.000000,4.5346602
31110003.,82.000000,4.5380506
31110003.,83.000000,4.3448551
31110003.,84.000000,4.1909508
31110003.,85.000000,4.7690933
31110003.,86.000000,5.3209951
31110003.,87.000000,5.2378717
31110003.,88.000000,5.0070824
31110003.,89.000000,5.3558256
31110003.,90.000000,5.3564523
31110003.,91.000000,4.6102903
31110004.,81.000000,4.3946848
31110004.,82.000000,4.3207177
31110004.,83.000000,4.1729139
31110004.,84.000000,3.9953456
31110004.,85.000000,3.6021801
31110004.,86.000000,3.3515747
31110004.,87.000000,3.8702617
31110004.,88.000000,3.6518751
31110004.,89.000000,3.3382230
31110004.,90.000000,3.0558926
31110004.,91.000000,3.0359858
31110005.,81.000000,3.9950819
31110005.,82.000000,3.7143103
31110005.,83.000000,3.6027683
31110005.,84.000000,3.5852094
31110005.,85.000000,3.4066863
31110005.,86.000000,3.3491500
31110005.,87.000000,3.4424304
31110005.,88.000000,3.3383210
31110005.,89.000000,3.3184728
31110005.,90.000000,2.9869306
31110005.,91.000000,3.0292173
31110006.,81.000000,4.5430698
31110006.,82.000000,4.2522121
31110006.,83.000000,4.2383798
31110006.,84.000000,3.8545232
31110006.,85.000000,4.5198527
31110006.,86.000000,3.7348498
31110006.,87.000000,4.0904035
31110006.,88.000000,4.1921485
31110006.,89.000000,4.0312798
31110006.,90.000000,3.9979496
31110006.,91.000000,3.5229019
31110007.,81.000000,4.9360258
31110007.,82.000000,4.6885835
31110007.,83.000000,4.3460633
31110007.,84.000000,3.9484494
31110007.,85.000000,4.1097741
31110007.,86.000000,3.8532696
31110007.,87.000000,3.4750165
31110007.,88.000000,3.3853355
31110007.,89.000000,3.5790294
31110007.,90.000000,2.8791354
31110007.,91.000000,3.2287553
31110008.,81.000000,3.4772584
31110008.,82.000000,4.2788593
31110008.,83.000000,4.0105060
31110008.,84.000000,3.7652842
31110008.,85.000000,3.5378636
31110008.,86.000000,3.6346703
31110008.,87.000000,3.5952707
31110008.,88.000000,3.5814643
31110008.,89.000000,3.4026128
31110008.,90.000000,3.5105053
31110008.,91.000000,3.4401411
31110010.,81.000000,3.0830647
31110010.,82.000000,3.0111566
31110010.,83.000000,2.9794170
31110010.,84.000000,3.0622975
31110010.,85.000000,2.8824923
31110010.,86.000000,2.7140754
31110010.,87.000000,2.4069020
31110010.,88.000000,2.4598605
31110010.,89.000000,2.4341162
31110010.,90.000000,2.2936543
31110010.,91.000000,2.2323857
31110011.,81.000000,4.8517385
31110011.,82.000000,3.2533793
31110011.,83.000000,2.5517793
31110011.,84.000000,2.4717856
31110011.,85.000000,3.0084510
31110011.,86.000000,2.9509334
31110011.,87.000000,2.4478271
31110011.,88.000000,2.5662654
31110011.,89.000000,2.7789377
31110011.,90.000000,2.5554722
31110011.,91.000000,2.7248901
31110012.,81.000000,4.2854898
31110012.,82.000000,3.5781221
31110012.,83.000000,4.0063186
31110012.,84.000000,3.9502801
31110012.,85.000000,3.9673104
31110012.,86.000000,4.0093718
31110012.,87.000000,3.8464231
31110012.,88.000000,3.7348275
31110012.,89.000000,3.6133704
31110012.,90.000000,3.7772478
31110012.,91.000000,3.8683356
31110013.,81.000000,3.9680541
31110013.,82.000000,3.7568828
31110013.,83.000000,3.3220547
31110013.,84.000000,3.7080678
31110013.,85.000000,2.9705769
31110013.,86.000000,2.9690820
31110015.,82.000000,3.8166823
31110015.,83.000000,4.2705366
31110015.,84.000000,2.6267522
31110015.,85.000000,1.9685571
31110015.,86.000000,1.1504202
31110015.,87.000000,.94429318
31110015.,88.000000,1.6066250
31110016.,81.000000,3.0903277
31110016.,82.000000,3.3594946
31110016.,83.000000,3.7353440
31110016.,84.000000,3.5806215
31110016.,85.000000,3.5273751
31110016.,86.000000,3.0915556
31110016.,87.000000,3.3670417
31110016.,88.000000,3.3721232
31110016.,89.000000,3.3922923
31110016.,90.000000,3.2866542
31110016.,91.000000,2.5604263
31110017.,81.000000,3.8088265
31110017.,82.000000,4.3786610
31110017.,83.000000,3.4314965
31110017.,84.000000,4.3416423
31110017.,85.000000,4.5185687
31110017.,86.000000,4.1990512
31110017.,87.000000,4.7060203
31110017.,88.000000,4.4271120
31110017.,89.000000,4.6002427
31110017.,90.000000,4.6797879
31110017.,91.000000,4.7898774
31110018.,81.000000,3.9441697
31110018.,82.000000,4.1551413
31110018.,83.000000,3.8370696
31110018.,84.000000,4.2479197
31110018.,85.000000,3.9988365
31110018.,86.000000,3.8859296
31110018.,87.000000,3.1798868
31110018.,88.000000,3.6088653
31110018.,89.000000,3.4446822
31110018.,90.000000,3.5478445
31110018.,91.000000,3.3563126
31110019.,81.000000,3.4042947
31110019.,82.000000,3.8719480
31110019.,83.000000,3.9425045
31110019.,84.000000,3.4887425
31110019.,85.000000,3.5673675
31110019.,86.000000,3.5737215
31110019.,87.000000,3.5649632
31110019.,88.000000,3.6024171
31110019.,89.000000,3.5158407
31110019.,90.000000,3.4452730
31110019.,91.000000,3.2841946
31110020.,81.000000,5.6712484
31110020.,82.000000,5.6792343
31110020.,83.000000,5.4952205
31110020.,84.000000,5.1155516
31110020.,85.000000,4.8183629
31110020.,86.000000,4.4337286
31110020.,87.000000,4.2293846
31110020.,88.000000,4.0668405
31110020.,89.000000,3.5860086
31110020.,90.000000,4.0786127
31110020.,91.000000,3.8439696
31110021.,81.000000,4.2503505
31110021.,82.000000,4.3837256
31110021.,83.000000,4.2929500
31110021.,84.000000,4.1675852
31110021.,85.000000,4.1882892
31110022.,81.000000,4.1656702
31110022.,82.000000,4.1551675
31110022.,83.000000,4.0858306
31110022.,84.000000,4.2931663
31110022.,85.000000,4.7953498
31110022.,86.000000,4.4117727
31110022.,87.000000,4.7090338
31110022.,88.000000,4.6813815
31110022.,89.000000,4.9966954
31110022.,90.000000,5.2184785
31110022.,91.000000,5.2706417
31110023.,81.000000,3.8964449
31110023.,82.000000,3.1134414
31110023.,83.000000,3.1094123
31110023.,84.000000,2.8331420
31110023.,85.000000,2.9452940
31110023.,86.000000,2.8704765
31110023.,87.000000,3.2318403
31110025.,81.000000,4.4427953
31110025.,82.000000,4.3886182
31110025.,83.000000,4.0047226
31110025.,84.000000,3.8239823
31110025.,85.000000,3.4763243
31110025.,86.000000,3.2217035
31110025.,87.000000,3.3885993
31110025.,88.000000,3.3507154
31110025.,89.000000,3.3789907
31110025.,90.000000,3.5788341
31110025.,91.000000,3.8126905
31110026.,81.000000,3.7101507
31110026.,82.000000,3.8332542
31110026.,83.000000,3.9438584
31110026.,84.000000,7.1698484
31110026.,85.000000,6.8637146
31110026.,86.000000,6.1954935
31110026.,87.000000,5.4041961
31110026.,88.000000,4.5480609
31110026.,89.000000,4.0923127
31110026.,90.000000,4.1498550
31110026.,91.000000,4.1603282
31110027.,81.000000,4.9222560
31110027.,82.000000,4.7562855
31110027.,83.000000,4.4594777
31110027.,84.000000,4.4284314
31110027.,85.000000,4.5895332
31110027.,86.000000,4.4363587
31110027.,87.000000,4.4360011
31110027.,88.000000,4.8985316
31110027.,89.000000,5.8332033
31110027.,90.000000,5.2268887
31110027.,91.000000,4.6940040
31110028.,81.000000,5.1449195
31110028.,82.000000,4.4238307
31110028.,83.000000,3.5640423
31110028.,84.000000,4.3222629
31110028.,85.000000,3.4370486
31110028.,86.000000,3.0158805
31110028.,87.000000,3.3684633
31110028.,88.000000,3.9718660
31110028.,89.000000,3.4184773
31110028.,90.000000,5.1345981
31110028.,91.000000,5.1264390
31110029.,81.000000,4.1252981
31110029.,82.000000,4.1816657
31110029.,83.000000,4.3414955
31110029.,84.000000,4.3258596
31110029.,85.000000,4.8502504
31110029.,86.000000,4.2135406
31110029.,87.000000,4.1784464
31110029.,88.000000,4.3021745
31110029.,89.000000,3.8500004
31110029.,90.000000,3.8489718
31110029.,91.000000,3.8203078
31110030.,81.000000,3.6550482
31110030.,82.000000,3.5468962
31110030.,83.000000,3.3701415
31110030.,84.000000,3.3393612
31110030.,85.000000,3.0592435
31110030.,86.000000,3.0730738
31110030.,87.000000,3.1574609
31110030.,88.000000,3.1247676
31110030.,89.000000,2.8115236
31110030.,90.000000,2.8701732
31110030.,91.000000,3.0809244
31110031.,81.000000,5.3415213
31110031.,82.000000,4.9503895
31110031.,83.000000,5.8864188
31110031.,84.000000,5.4448074
31110031.,85.000000,5.1218335
31110031.,86.000000,4.5975304
31110031.,87.000000,4.2515989
31110031.,88.000000,4.7655197
31110031.,89.000000,5.0056825
31110031.,90.000000,4.8804074
31110031.,91.000000,5.0713870
31110032.,81.000000,3.5742550
31110032.,82.000000,3.5239289
31110032.,83.000000,2.9810726
31110032.,84.000000,3.2463462
31110032.,85.000000,3.1947240
31110032.,86.000000,3.7051404
31110032.,87.000000,2.6319733
31110032.,88.000000,2.6128041
31110032.,89.000000,3.3718957
31110032.,90.000000,4.0512719
31110032.,91.000000,3.8739122
31110033.,81.000000,3.7507152
31110033.,82.000000,3.7323976
31110033.,83.000000,3.8413294
31110033.,84.000000,3.7173606
31110033.,85.000000,3.8785455
31110033.,88.000000,4.3378668
31110033.,89.000000,3.6949430
31110033.,90.000000,4.1144842
31110033.,91.000000,3.7360966
31110034.,81.000000,4.7079995
31110034.,82.000000,4.8129282
31110034.,83.000000,4.6031909
31110034.,84.000000,4.3983373
31110034.,85.000000,4.2959753
31110034.,86.000000,3.5826445
31110034.,87.000000,3.9065704
31110034.,88.000000,4.3842729
31110034.,90.000000,4.6098391
31110034.,91.000000,4.3874936
31110035.,81.000000,4.1163163
31110035.,82.000000,4.0727254
31110035.,83.000000,3.8081596
31110035.,84.000000,3.9781620
31110035.,85.000000,4.6154267
31110035.,86.000000,3.6035924
31110035.,87.000000,3.7668469
31110035.,88.000000,3.3375071
31110035.,89.000000,3.9887337
31110035.,90.000000,4.2836081
31110035.,91.000000,4.0587257
31110036.,81.000000,6.8385699
31110036.,82.000000,5.9888591
31110036.,83.000000,5.8590901
31110036.,84.000000,5.4200474
31110036.,85.000000,5.1141975
31110036.,86.000000,5.0146596
31110036.,87.000000,5.1351095
31110036.,88.000000,4.9817983
31110036.,89.000000,5.3413060
31110036.,90.000000,5.3012434
31110036.,91.000000,5.5213120
31110037.,81.000000,4.9900819
31110037.,82.000000,4.6971514
31110037.,83.000000,3.9998746
31110037.,84.000000,4.3402892
31110037.,85.000000,3.3529979
31110037.,86.000000,3.4426332
31110037.,87.000000,3.5113488
31110037.,88.000000,3.5614908
31110037.,89.000000,3.3801898
31110037.,90.000000,3.4150249
31110037.,91.000000,3.6031240
31110038.,81.000000,4.6635007
31110038.,82.000000,4.2307047
31110038.,83.000000,4.3235542
31110038.,84.000000,4.1469678
31110038.,85.000000,4.5925554
31110038.,86.000000,3.9543353
31110038.,87.000000,4.0612288
31110038.,88.000000,4.0364680
31110038.,89.000000,4.1502825
31110038.,90.000000,4.0381284
31110038.,91.000000,3.9186204
31110039.,81.000000,2.7742191
31110039.,82.000000,3.3797433
31110039.,83.000000,2.3053877
31110039.,84.000000,2.9668624
31110039.,85.000000,3.1152521
31110039.,86.000000,2.5440332
31110039.,87.000000,2.1637229
31110039.,88.000000,3.0141691
31110039.,89.000000,3.1132877
31110039.,90.000000,3.0527617
31110039.,91.000000,2.9445152
31110040.,81.000000,3.6959953
31110040.,82.000000,3.2545241
31110040.,83.000000,3.3672763
31110040.,84.000000,3.4200732
31110040.,85.000000,3.2732215
31110040.,86.000000,3.1967366
31110040.,87.000000,3.1326029
31110040.,88.000000,3.2043157
31110040.,89.000000,3.3721291
31110040.,90.000000,3.1196042
31110040.,91.000000,2.9427610
31110041.,81.000000,2.7032821
31110041.,82.000000,3.5095854
31110041.,83.000000,3.0365891
31110041.,84.000000,2.3793901
31110041.,85.000000,1.3867149
31110041.,86.000000,2.3392681
31110041.,87.000000,2.4237038
31110041.,88.000000,2.4143084
31110042.,84.000000,2.1794560
31110042.,85.000000,2.6310141
31110042.,86.000000,2.6881014
31110043.,81.000000,3.2553401
31110043.,82.000000,2.9681258
31110043.,83.000000,3.3040485
31110043.,84.000000,3.3282290
31110043.,85.000000,3.5617708
31110043.,86.000000,3.6626280
31110043.,87.000000,4.0181754
31110043.,88.000000,4.1448321
31110043.,89.000000,3.6223819
31110044.,81.000000,5.8404811
31110044.,82.000000,5.8034751
31110044.,83.000000,4.7822149
31110044.,84.000000,4.5158013
31110044.,85.000000,4.2604781
31110044.,86.000000,4.0928815
31110044.,87.000000,3.8501840
31110044.,88.000000,3.7344578
31110044.,89.000000,3.3904876
31110044.,90.000000,3.8014190
31110044.,91.000000,3.6639591
31110046.,82.000000,3.5215323
31110046.,83.000000,3.0678007
31110046.,84.000000,2.8795152
31110046.,85.000000,3.2535605
31110046.,86.000000,2.8131120
31110047.,81.000000,3.7013995
31110047.,82.000000,4.0994970
31110047.,83.000000,4.6562404
31110047.,84.000000,4.4483797
31110047.,85.000000,3.2308423
31110047.,86.000000,2.9774308
31110047.,87.000000,3.0098583
31110047.,88.000000,3.4292138
31110047.,89.000000,3.6758961
31110047.,90.000000,3.6522520
31110047.,91.000000,3.8296222
31110048.,81.000000,5.9210615
31110048.,82.000000,6.9204320
31110048.,83.000000,4.0976693
31110048.,84.000000,4.0755275
31110048.,85.000000,4.0253785
31110048.,86.000000,6.6783282
31110048.,87.000000,6.0026289
31110048.,88.000000,5.8839194
31110048.,89.000000,5.1608815
31110048.,90.000000,4.4535056
31110048.,91.000000,4.6047607
31110049.,81.000000,3.3676541
31110049.,82.000000,3.4845210
31110049.,83.000000,3.3803783
31110049.,84.000000,3.1525806
31110049.,85.000000,3.4643982
31110049.,86.000000,3.7389890
31110049.,87.000000,3.3125640
31110049.,88.000000,3.2835487
31110049.,89.000000,3.2570594
31110049.,90.000000,3.0871277
31110049.,91.000000,3.1781943
31110050.,81.000000,3.0991337
31110050.,82.000000,3.3203671
31110050.,83.000000,3.4277513
31110050.,84.000000,3.6582535
31110050.,85.000000,3.6083649
31110050.,86.000000,3.6124024
31110050.,87.000000,3.5341143
31110050.,88.000000,3.5514011
31110050.,89.000000,3.4804599
31110050.,90.000000,3.7051893
31110050.,91.000000,3.4693550
31110051.,81.000000,4.6677126
31110051.,82.000000,3.6736402
31110051.,83.000000,2.8746482
31110051.,84.000000,3.5630556
31110051.,85.000000,3.1896405
31110051.,86.000000,2.9298193
31110051.,87.000000,2.8592778
31110051.,88.000000,3.0265744
31110051.,89.000000,2.9956456
31110051.,90.000000,2.9545758
31110051.,91.000000,3.0616281
31110052.,81.000000,3.5366088
31110052.,82.000000,3.3130695
31110052.,83.000000,3.5894404
31110052.,84.000000,3.2051219
31110052.,85.000000,2.8856704
31110052.,86.000000,2.7458484
31110052.,87.000000,2.7959890
31110052.,88.000000,2.4987522
31110052.,89.000000,2.6815047
31110052.,90.000000,1.9266921
31110052.,91.000000,2.2077857
31110053.,81.000000,4.8121436
31110053.,82.000000,4.3688515
31110053.,83.000000,3.9943155
31110053.,84.000000,3.6449340
31110053.,85.000000,3.5797049
31110053.,86.000000,3.7101098
31110053.,87.000000,3.4794419
31110053.,88.000000,3.5871313
31110053.,89.000000,3.7137349
31110053.,90.000000,3.2005851
31110053.,91.000000,3.1836103
31110054.,81.000000,4.1549284
31110054.,82.000000,4.7514783
31110054.,83.000000,3.9560480
31110054.,84.000000,3.6567235
31110054.,85.000000,3.7829656
31110054.,86.000000,3.4797544
31110054.,87.000000,3.6302892
31110055.,81.000000,3.6456206
31110055.,82.000000,3.1864780
31110055.,83.000000,3.2574884
31110055.,84.000000,3.4494975
31110055.,85.000000,3.7180119
31110055.,86.000000,3.5963694
31110055.,87.000000,3.7027270
31110055.,88.000000,3.4527767
31110055.,89.000000,3.4451477
31110055.,90.000000,3.2828723
31110055.,91.000000,3.5193806
31110056.,81.000000,4.7743157
31110056.,82.000000,4.7842033
31110056.,83.000000,4.5738003
31110056.,84.000000,4.6018785
31110056.,85.000000,4.5098688
31110056.,86.000000,4.6432807
31110056.,87.000000,4.3184015
31110056.,88.000000,4.4373080
31110056.,89.000000,4.0426643
31110056.,90.000000,4.1256651
31110057.,81.000000,3.5860314
31110057.,82.000000,3.2521826
31110057.,83.000000,3.1909268
31110057.,84.000000,3.3007879
31110057.,85.000000,4.1477825
31110057.,86.000000,3.8563065
31110057.,87.000000,3.8181480
31110057.,88.000000,3.6274253
31110057.,89.000000,4.0307112
31110057.,90.000000,4.2559170
31110057.,91.000000,4.3486346
31110058.,84.000000,3.2921112
31110058.,85.000000,3.4113558
31110058.,88.000000,3.4848653
31110058.,89.000000,3.4063494
31110058.,90.000000,3.2231559
31110058.,91.000000,3.2974775
31110059.,81.000000,3.8314239
31110059.,82.000000,3.0296274
31110059.,83.000000,2.0944396
31110059.,84.000000,2.8758425
31110059.,85.000000,3.4573477
31110059.,86.000000,3.0385808
31110059.,87.000000,2.8936090
31110059.,88.000000,2.6998010
31110059.,89.000000,2.6496043
31110059.,90.000000,2.7868165
31110059.,91.000000,2.5036719
31110060.,81.000000,3.0233761
31110060.,82.000000,3.3472998
31110060.,83.000000,2.6810244
31110060.,84.000000,2.5422464
31110060.,85.000000,2.0090354
31110060.,86.000000,2.9708797
31110060.,87.000000,3.1945157
31110060.,88.000000,2.6740797
31110061.,81.000000,3.7731861
31110061.,82.000000,4.4479229
31110061.,83.000000,4.5258336
31110061.,84.000000,4.3036968
31110061.,85.000000,5.7477367
31110061.,86.000000,4.6107074
31110061.,87.000000,4.5329237
31110061.,88.000000,4.3808522
31110061.,89.000000,4.5915581
31110061.,90.000000,4.2544097
31110061.,91.000000,3.9193140
31110062.,81.000000,3.5379472
31110062.,82.000000,2.6393064
31110062.,83.000000,2.8945970
31110062.,84.000000,1.9309202
31110062.,85.000000,2.5820972
31110062.,86.000000,3.3046148
31110062.,87.000000,2.8488849
31110062.,88.000000,2.7390039
31110062.,89.000000,2.8198844
31110062.,90.000000,2.9163748
31110062.,91.000000,2.7754347
31110063.,81.000000,5.9741235
31110063.,82.000000,5.7329277
31110063.,83.000000,5.1802965
31110063.,84.000000,5.9825946
31110063.,85.000000,5.6643828
31110063.,86.000000,5.6519717
31110063.,87.000000,5.5955077
31110063.,88.000000,5.3340456
31110063.,89.000000,4.7062774
31110063.,90.000000,4.7685614
31110064.,81.000000,5.5267613
31110064.,82.000000,5.0868954
31110064.,83.000000,5.2052859
31110064.,84.000000,4.9075648
31110064.,85.000000,5.2324984
31110064.,86.000000,6.2487379
31110064.,87.000000,6.1028614
31110064.,88.000000,6.6986881
31110064.,89.000000,6.8658844
31110064.,90.000000,6.9458014
31110064.,91.000000,5.9479723
31110065.,81.000000,4.0865073
31110065.,82.000000,4.1313436
31110065.,83.000000,3.9088479
31110065.,84.000000,3.9209217
31110065.,85.000000,3.6301355
31110065.,86.000000,3.2989982
31110065.,87.000000,3.7731597
31110065.,88.000000,4.7300066
31110065.,89.000000,4.8437496
31110065.,90.000000,5.0232954
31110065.,91.000000,4.3631333
31110066.,81.000000,4.5071932
31110066.,82.000000,4.8668951
31110066.,83.000000,4.7592438
31110066.,84.000000,4.9321350
