plant       ,year        ,productivity
34210912.,86.000000,19.556356
34210912.,87.000000,18.521277
34210912.,88.000000,18.042552
34210912.,89.000000,23.246300
34210912.,90.000000,23.446582
34210912.,91.000000,20.254540
34210915.,87.000000,20.058132
34210915.,88.000000,15.414094
34210915.,89.000000,16.341153
34210915.,90.000000,16.536553
34210915.,91.000000,18.362588
34210926.,82.000000,19.895956
34210927.,81.000000,20.134456
34210927.,82.000000,17.998886
34210927.,83.000000,16.757334
34210927.,84.000000,15.564658
34210927.,85.000000,17.739935
34210927.,86.000000,20.853253
34210927.,87.000000,20.630521
34210927.,88.000000,17.237509
34210927.,89.000000,18.225740
34210927.,90.000000,17.357402
34210927.,91.000000,16.790732
34210928.,81.000000,25.528586
34210928.,82.000000,22.861992
34210928.,83.000000,21.241191
34210928.,84.000000,20.349843
34210928.,85.000000,25.802974
34210928.,86.000000,23.840604
34210929.,81.000000,20.851558
34210929.,82.000000,26.759676
34210929.,83.000000,25.916030
34210929.,84.000000,21.691332
34210929.,85.000000,15.826878
34210929.,86.000000,17.489045
34210929.,87.000000,13.944173
34210929.,88.000000,15.934857
34210929.,89.000000,19.087826
34210929.,90.000000,27.033818
34210929.,91.000000,25.649281
34210930.,84.000000,25.665607
34210930.,85.000000,26.160308
34210930.,86.000000,22.636169
34210930.,87.000000,21.605142
34210930.,88.000000,21.570284
34210930.,89.000000,22.304227
34210930.,91.000000,22.978969
34210931.,81.000000,19.487380
34210931.,82.000000,18.035146
34210931.,83.000000,15.288052
34210931.,84.000000,16.707847
34210931.,85.000000,14.970760
34210931.,86.000000,15.731096
34210931.,87.000000,15.072369
34210931.,88.000000,15.370495
34210931.,89.000000,15.519884
34210931.,90.000000,14.719052
34210932.,81.000000,19.240963
34210932.,82.000000,21.895384
34210932.,83.000000,27.732522
34210932.,84.000000,18.570880
34210932.,85.000000,19.168823
34210932.,86.000000,17.165416
34210932.,87.000000,18.287459
34210932.,88.000000,16.973906
34210933.,81.000000,21.392515
34210933.,82.000000,18.600625
34210933.,83.000000,17.465122
34210933.,84.000000,17.448702
34210933.,85.000000,17.374696
34210933.,86.000000,16.650680
34210933.,87.000000,18.493412
34210933.,88.000000,19.200852
34210933.,89.000000,19.354052
34210933.,90.000000,18.013378
34210933.,91.000000,17.583764
34210934.,81.000000,20.775388
34210934.,82.000000,23.118545
34210934.,83.000000,22.438363
34210934.,84.000000,18.246013
34210934.,85.000000,20.026149
34210934.,86.000000,18.045950
34210934.,87.000000,17.027372
34210934.,88.000000,16.717469
34210934.,89.000000,18.340185
34210934.,90.000000,20.200940
34210934.,91.000000,18.812384
34210935.,81.000000,19.614752
34210935.,82.000000,16.312128
34210935.,83.000000,17.639902
34210935.,84.000000,16.801868
34210935.,85.000000,16.684784
34210935.,86.000000,20.298736
34210935.,87.000000,18.105305
34210935.,88.000000,17.458789
34210935.,89.000000,18.165300
34210935.,90.000000,18.688933
34210935.,91.000000,21.774625
34210936.,81.000000,19.267293
34210936.,82.000000,19.714733
34210936.,83.000000,22.030437
34210936.,84.000000,20.460309
34210936.,85.000000,19.615718
34210936.,86.000000,16.674053
34210936.,87.000000,17.940701
34210936.,88.000000,17.664275
34210936.,89.000000,19.380346
34210936.,90.000000,20.566992
34210937.,81.000000,18.321331
34210937.,82.000000,22.743420
34210937.,83.000000,19.068470
34210937.,84.000000,16.077609
34210937.,85.000000,16.990856
34210937.,86.000000,15.478219
34210937.,87.000000,15.981690
34210937.,88.000000,15.897501
34210937.,89.000000,16.889419
34210937.,90.000000,19.046496
34210937.,91.000000,16.522430
34210938.,81.000000,23.431635
34210938.,82.000000,22.217274
34210938.,83.000000,20.084628
34210938.,84.000000,21.434299
34210938.,85.000000,21.410061
34210938.,86.000000,20.224059
34210938.,87.000000,15.925874
34210938.,88.000000,13.837594
34210939.,81.000000,17.809335
34210939.,82.000000,16.817730
34210939.,83.000000,16.934390
34210939.,84.000000,16.211207
34210939.,85.000000,12.467995
34210939.,86.000000,14.092019
34210939.,87.000000,11.462334
34210939.,88.000000,13.422037
34210939.,89.000000,12.785959
34210939.,90.000000,15.944498
34210939.,91.000000,16.020824
34210940.,81.000000,16.529676
34210940.,82.000000,18.046655
