plant       ,year        ,productivity
10001.000,81.000000,16197.908
10001.000,82.000000,16069.703
10001.000,83.000000,16105.984
10001.000,84.000000,15102.950
10001.000,85.000000,15227.619
10001.000,86.000000,14988.264
10001.000,87.000000,14297.659
10001.000,88.000000,15108.066
10001.000,89.000000,14433.333
10001.000,90.000000,14773.790
10001.000,91.000000,14926.707
10002.000,81.000000,19806.191
10002.000,82.000000,17977.833
10002.000,83.000000,17649.872
10002.000,84.000000,17671.314
10002.000,85.000000,17469.886
10002.000,86.000000,15277.371
10002.000,87.000000,14325.976
10002.000,88.000000,13842.238
10002.000,89.000000,14395.382
10002.000,90.000000,11131.994
10003.000,81.000000,17809.811
10003.000,82.000000,17799.735
10003.000,83.000000,17657.544
10003.000,84.000000,17307.747
10003.000,85.000000,19501.965
10003.000,86.000000,22044.741
10003.000,87.000000,22418.228
10003.000,88.000000,21997.253
10003.000,89.000000,23678.207
10003.000,90.000000,23586.285
10003.000,91.000000,19605.461
10004.000,81.000000,19823.370
10004.000,82.000000,19174.610
10004.000,83.000000,18742.785
10004.000,84.000000,18271.994
10004.000,85.000000,17159.568
10004.000,86.000000,16200.569
10004.000,87.000000,17744.594
10004.000,88.000000,17566.696
10004.000,89.000000,15746.768
10004.000,90.000000,14820.948
10004.000,91.000000,14979.404
10005.000,81.000000,16478.272
10005.000,82.000000,15584.496
10005.000,83.000000,15171.016
10005.000,84.000000,15020.630
10005.000,85.000000,14397.871
10005.000,86.000000,14214.412
10005.000,87.000000,14510.050
10005.000,88.000000,13947.700
10005.000,89.000000,13963.215
10005.000,90.000000,12671.056
10005.000,91.000000,12690.236
10006.000,81.000000,18342.621
10006.000,82.000000,16821.742
10006.000,83.000000,17974.204
10006.000,84.000000,17200.169
10006.000,85.000000,19976.813
10006.000,86.000000,16758.867
10006.000,87.000000,18228.561
10006.000,88.000000,18738.670
10006.000,89.000000,17791.622
10006.000,90.000000,18013.733
10006.000,91.000000,15513.980
10007.000,81.000000,18763.477
10007.000,82.000000,18326.011
10007.000,83.000000,17491.165
10007.000,84.000000,15975.741
10007.000,85.000000,16724.364
10007.000,86.000000,16705.729
10007.000,87.000000,15332.440
10007.000,88.000000,15898.654
10007.000,89.000000,16624.302
10007.000,90.000000,13951.712
10007.000,91.000000,15457.979
10008.000,81.000000,14686.398
10008.000,82.000000,17873.427
10008.000,83.000000,16675.653
10008.000,84.000000,15866.139
10008.000,85.000000,14980.554
10008.000,86.000000,15447.204
10008.000,87.000000,15466.694
10008.000,88.000000,15234.399
10008.000,89.000000,14529.765
10008.000,90.000000,14958.909
10008.000,91.000000,14616.019
10010.000,81.000000,14936.684
10010.000,82.000000,14871.235
10010.000,83.000000,14798.245
10010.000,84.000000,15376.737
10010.000,85.000000,14384.294
10010.000,86.000000,13488.074
10010.000,87.000000,11949.621
10010.000,88.000000,11987.273
10010.000,89.000000,12137.916
10010.000,90.000000,11509.664
10010.000,91.000000,11493.871
10011.000,81.000000,20780.774
10011.000,82.000000,15672.202
10011.000,83.000000,11423.515
10011.000,84.000000,10786.811
10011.000,85.000000,13197.139
10011.000,86.000000,12973.759
10011.000,87.000000,10185.577
10011.000,88.000000,10688.721
10011.000,89.000000,11704.241
10011.000,90.000000,10553.960
10011.000,91.000000,11432.959
10012.000,81.000000,17007.463
10012.000,82.000000,14840.860
10012.000,83.000000,16705.992
10012.000,84.000000,16501.103
10012.000,85.000000,16726.972
10012.000,86.000000,16642.069
10012.000,87.000000,15828.097
10012.000,88.000000,15401.575
10012.000,89.000000,14878.231
10012.000,90.000000,15669.320
10012.000,91.000000,15715.741
10013.000,81.000000,18102.915
10013.000,82.000000,17963.277
10013.000,83.000000,15076.039
10013.000,84.000000,16906.647
10013.000,85.000000,13023.145
10013.000,86.000000,13330.183
10015.000,81.000000,16442.947
10015.000,82.000000,14867.857
10015.000,83.000000,16351.668
10015.000,84.000000,11688.917
10015.000,85.000000,8959.5493
10015.000,86.000000,5269.8755
10015.000,87.000000,4102.3784
10015.000,88.000000,8094.9801
10016.000,81.000000,14086.946
10016.000,82.000000,15907.879
10016.000,83.000000,17785.940
10016.000,84.000000,16975.130
10016.000,85.000000,15787.599
10016.000,86.000000,13828.510
10016.000,87.000000,14415.668
10016.000,88.000000,14523.573
10016.000,89.000000,14730.754
10016.000,90.000000,14620.691
10016.000,91.000000,11147.568
10017.000,81.000000,15194.118
10017.000,82.000000,17020.704
10017.000,83.000000,12657.761
10017.000,84.000000,16787.620
10017.000,85.000000,17232.944
10017.000,86.000000,16505.151
10017.000,87.000000,17342.803
10017.000,88.000000,16849.780
10017.000,89.000000,17017.370
10017.000,90.000000,17194.552
10017.000,91.000000,17217.884
10018.000,81.000000,14352.905
10018.000,82.000000,15781.725
10018.000,83.000000,15953.328
10018.000,84.000000,17421.726
10018.000,85.000000,15979.336
10018.000,86.000000,15781.339
10018.000,87.000000,12545.114
10018.000,88.000000,14336.429
10018.000,89.000000,13732.758
10018.000,90.000000,14393.397
10018.000,91.000000,13788.882
10019.000,81.000000,14521.125
10019.000,82.000000,16389.319
10019.000,83.000000,16588.503
10019.000,84.000000,14744.818
10019.000,85.000000,15089.217
10019.000,86.000000,15102.619
10019.000,87.000000,14820.935
10019.000,88.000000,15003.890
10019.000,89.000000,14593.021
10019.000,90.000000,14389.302
10019.000,91.000000,13421.751
10020.000,81.000000,19224.864
10020.000,82.000000,19106.075
10020.000,83.000000,19143.098
10020.000,84.000000,19251.938
10020.000,85.000000,19093.056
10020.000,86.000000,17836.930
10020.000,87.000000,17260.556
10020.000,88.000000,16631.423
10020.000,89.000000,15335.944
10020.000,90.000000,14466.226
10020.000,91.000000,16367.012
10021.000,81.000000,15659.926
10021.000,82.000000,16905.123
10021.000,83.000000,16124.308
10021.000,84.000000,16041.587
10021.000,85.000000,16830.354
10022.000,81.000000,15381.828
10022.000,82.000000,15160.364
10022.000,83.000000,14879.112
10022.000,84.000000,15659.373
10022.000,85.000000,17605.320
10022.000,86.000000,17443.281
10022.000,87.000000,18067.842
10022.000,88.000000,18250.386
10022.000,89.000000,19103.935
10022.000,90.000000,20020.494
10022.000,91.000000,19782.449
10023.000,81.000000,19158.333
10023.000,82.000000,14345.664
10023.000,83.000000,14274.631
10023.000,84.000000,13262.379
10023.000,85.000000,14738.388
10023.000,86.000000,13351.870
10023.000,87.000000,14948.767
10025.000,81.000000,16811.401
10025.000,82.000000,16693.800
10025.000,83.000000,15054.047
10025.000,84.000000,15359.771
10025.000,85.000000,14080.058
10025.000,86.000000,13304.074
10025.000,87.000000,13880.955
10025.000,88.000000,13630.646
10025.000,89.000000,13745.486
10025.000,90.000000,14533.816
10025.000,91.000000,15501.857
10026.000,81.000000,15949.074
10026.000,82.000000,16280.472
10026.000,83.000000,16504.929
10026.000,84.000000,22108.368
10026.000,85.000000,21736.484
10026.000,86.000000,20646.136
10026.000,87.000000,18490.344
10026.000,88.000000,16723.578
10026.000,89.000000,15496.669
10026.000,90.000000,15457.458
10026.000,91.000000,15300.732
10027.000,81.000000,17178.430
10027.000,82.000000,17321.286
10027.000,83.000000,16914.997
10027.000,84.000000,16706.417
10027.000,85.000000,18097.370
10027.000,86.000000,17460.384
10027.000,87.000000,17153.055
10027.000,88.000000,19848.553
10027.000,89.000000,22610.101
10027.000,90.000000,21346.442
10027.000,91.000000,19292.243
10028.000,81.000000,21238.865
10028.000,82.000000,18443.230
10028.000,83.000000,14225.536
10028.000,84.000000,17299.709
10028.000,85.000000,14479.629
10028.000,86.000000,12390.759
10028.000,87.000000,13553.182
10028.000,88.000000,16556.710
10028.000,89.000000,14487.596
10028.000,90.000000,21359.516
10028.000,91.000000,21488.492
10029.000,81.000000,15578.749
10029.000,82.000000,15809.317
10029.000,83.000000,16373.227
10029.000,84.000000,16835.877
10029.000,85.000000,18698.979
10029.000,86.000000,17230.832
10029.000,87.000000,17310.430
10029.000,88.000000,17963.974
10029.000,89.000000,15896.799
10029.000,90.000000,15895.189
10029.000,91.000000,15712.244
10030.000,81.000000,14433.787
10030.000,82.000000,14153.366
10030.000,83.000000,13133.345
10030.000,84.000000,13407.540
10030.000,85.000000,12215.913
10030.000,86.000000,12454.550
10030.000,87.000000,12879.141
10030.000,88.000000,12747.506
10030.000,89.000000,11256.603
10030.000,90.000000,11521.574
10030.000,91.000000,12734.816
10031.000,81.000000,19291.550
10031.000,82.000000,18206.657
10031.000,83.000000,21460.755
10031.000,84.000000,19113.658
10031.000,85.000000,18478.391
10031.000,86.000000,17547.066
10031.000,87.000000,16612.285
10031.000,88.000000,17353.697
10031.000,89.000000,18276.520
10031.000,90.000000,18083.562
10031.000,91.000000,18636.282
10032.000,81.000000,15214.803
10032.000,82.000000,15700.109
10032.000,83.000000,13509.926
10032.000,84.000000,14749.407
10032.000,85.000000,14588.840
10032.000,86.000000,17219.859
10032.000,87.000000,12099.489
10032.000,88.000000,11980.310
10032.000,89.000000,15326.639
10032.000,90.000000,17304.558
10032.000,91.000000,16832.696
10033.000,81.000000,15342.480
10033.000,82.000000,15395.353
10033.000,83.000000,15785.189
10033.000,84.000000,15381.366
10033.000,85.000000,15985.078
10033.000,88.000000,17663.669
10033.000,89.000000,15125.912
10033.000,90.000000,16893.792
10033.000,91.000000,15376.239
10034.000,81.000000,18366.466
10034.000,82.000000,18681.931
10034.000,83.000000,17845.355
10034.000,84.000000,17433.566
10034.000,85.000000,17479.878
10034.000,86.000000,14243.781
10034.000,87.000000,15661.032
10034.000,88.000000,17141.211
10034.000,90.000000,18179.998
10034.000,91.000000,16858.452
10035.000,81.000000,17127.172
10035.000,82.000000,17067.507
10035.000,83.000000,16384.400
10035.000,84.000000,17778.094
10035.000,85.000000,20504.512
10035.000,86.000000,16077.394
10035.000,87.000000,16322.723
10035.000,88.000000,14766.860
10035.000,89.000000,16917.716
10035.000,90.000000,18052.818
10035.000,91.000000,16937.005
10036.000,81.000000,23857.879
10036.000,82.000000,20314.998
10036.000,83.000000,19674.833
10036.000,84.000000,19935.630
10036.000,85.000000,19168.877
10036.000,86.000000,19352.373
10036.000,87.000000,18813.115
10036.000,88.000000,17942.748
10036.000,89.000000,18468.853
10036.000,90.000000,18651.946
10036.000,91.000000,19440.519
10037.000,81.000000,20560.002
10037.000,82.000000,20547.581
10037.000,83.000000,16439.718
10037.000,84.000000,17611.959
10037.000,85.000000,14398.705
10037.000,86.000000,14988.379
10037.000,87.000000,15544.966
10037.000,88.000000,16097.017
10037.000,89.000000,15028.619
10037.000,90.000000,14898.966
10037.000,91.000000,15534.621
10038.000,81.000000,16559.813
10038.000,82.000000,16365.669
10038.000,83.000000,17371.108
10038.000,84.000000,16604.812
10038.000,85.000000,17628.864
10038.000,86.000000,16168.244
10038.000,87.000000,16544.355
10038.000,88.000000,16406.767
10038.000,89.000000,17265.935
10038.000,90.000000,16946.661
10038.000,91.000000,16855.802
10039.000,81.000000,11381.853
10039.000,82.000000,14424.085
10039.000,83.000000,9091.2712
10039.000,84.000000,12650.920
10039.000,85.000000,13758.573
10039.000,86.000000,10705.478
10039.000,87.000000,8619.7662
10039.000,88.000000,13430.914
10039.000,89.000000,13888.668
10039.000,90.000000,13476.461
10039.000,91.000000,13034.940
10040.000,81.000000,16757.361
10040.000,82.000000,14981.264
10040.000,83.000000,15650.237
10040.000,84.000000,15608.433
10040.000,85.000000,15039.102
10040.000,86.000000,14595.764
10040.000,87.000000,13907.977
10040.000,88.000000,14519.053
10040.000,89.000000,15372.637
10040.000,90.000000,13940.056
10040.000,91.000000,12912.791
10041.000,81.000000,12606.999
10041.000,82.000000,16678.894
10041.000,83.000000,13951.636
10041.000,84.000000,12119.236
10041.000,85.000000,6711.0550
10041.000,86.000000,11183.021
10041.000,87.000000,11526.050
10041.000,88.000000,11375.791
10042.000,84.000000,9649.3766
10042.000,85.000000,12358.187
10042.000,86.000000,12407.922
10043.000,81.000000,15778.225
10043.000,82.000000,13217.509
10043.000,83.000000,15271.438
10043.000,84.000000,15670.467
10043.000,85.000000,15983.544
10043.000,86.000000,16193.855
10043.000,87.000000,17188.062
10043.000,88.000000,17649.504
10043.000,89.000000,15386.547
10044.000,81.000000,18674.248
10044.000,82.000000,18615.942
10044.000,83.000000,17585.701
10044.000,84.000000,17122.163
10044.000,85.000000,16682.095
10044.000,86.000000,16496.815
10044.000,87.000000,15735.138
10044.000,88.000000,15263.477
10044.000,89.000000,14143.162
10044.000,90.000000,15452.433
10044.000,91.000000,14800.700
10046.000,82.000000,15910.460
10046.000,83.000000,13192.317
10046.000,84.000000,12638.313
10046.000,85.000000,14663.077
10046.000,86.000000,12314.092
10047.000,81.000000,17242.789
10047.000,82.000000,18665.802
10047.000,83.000000,20549.067
10047.000,84.000000,20116.934
10047.000,85.000000,16328.290
10047.000,86.000000,14219.620
10047.000,87.000000,14394.706
10047.000,88.000000,16112.643
10047.000,89.000000,17300.740
10047.000,90.000000,16844.340
10047.000,91.000000,17469.952
10048.000,81.000000,23479.847
10048.000,82.000000,28040.903
10048.000,83.000000,16550.472
10048.000,84.000000,16376.935
10048.000,85.000000,16291.146
10048.000,86.000000,27216.037
10048.000,87.000000,24759.880
10048.000,88.000000,23734.738
10048.000,89.000000,22586.943
10048.000,90.000000,20477.810
10048.000,91.000000,21442.864
10049.000,81.000000,14837.582
10049.000,82.000000,15503.146
10049.000,83.000000,15117.091
10049.000,84.000000,13552.715
10049.000,85.000000,15640.677
10049.000,86.000000,17245.305
10049.000,87.000000,13782.711
10049.000,88.000000,13270.181
10049.000,89.000000,13166.541
10049.000,90.000000,12179.807
10049.000,91.000000,12729.641
10050.000,81.000000,14660.695
10050.000,82.000000,15518.198
10050.000,83.000000,15629.889
10050.000,84.000000,16474.804
10050.000,85.000000,16297.448
10050.000,86.000000,16104.668
10050.000,87.000000,15801.455
10050.000,88.000000,15707.859
10050.000,89.000000,15504.527
10050.000,90.000000,16530.497
10050.000,91.000000,15732.261
10051.000,81.000000,20930.866
10051.000,82.000000,17777.379
10051.000,83.000000,12726.633
10051.000,84.000000,15687.659
10051.000,85.000000,14144.038
10051.000,86.000000,13209.964
10051.000,87.000000,13340.942
10051.000,88.000000,14136.948
10051.000,89.000000,13792.720
10051.000,90.000000,13104.869
10051.000,91.000000,13184.637
10052.000,81.000000,17114.609
10052.000,82.000000,16142.846
10052.000,83.000000,17479.557
10052.000,84.000000,15576.161
10052.000,85.000000,14051.477
10052.000,86.000000,13006.233
10052.000,87.000000,13554.679
10052.000,88.000000,12255.003
10052.000,89.000000,12759.891
10052.000,90.000000,9954.2867
10052.000,91.000000,11427.003
10053.000,81.000000,23089.262
10053.000,82.000000,21654.693
10053.000,83.000000,18763.991
10053.000,84.000000,16724.616
10053.000,85.000000,16126.121
10053.000,86.000000,16917.193
10053.000,87.000000,15916.318
10053.000,88.000000,16215.082
10053.000,89.000000,16768.235
10053.000,90.000000,14181.548
10053.000,91.000000,14066.490
10054.000,81.000000,16411.966
10054.000,82.000000,19172.833
10054.000,83.000000,16321.068
10054.000,84.000000,15323.942
10054.000,85.000000,16034.031
10054.000,86.000000,14900.071
10054.000,87.000000,15679.021
10055.000,81.000000,16868.388
10055.000,82.000000,15312.512
10055.000,83.000000,15085.961
10055.000,84.000000,15521.605
10055.000,85.000000,16887.522
10055.000,86.000000,15977.486
10055.000,87.000000,16233.916
10055.000,88.000000,14843.337
10055.000,89.000000,14385.343
10055.000,90.000000,13717.563
10055.000,91.000000,14932.782
10056.000,81.000000,18111.253
10056.000,82.000000,17919.969
10056.000,83.000000,17748.570
10056.000,84.000000,18141.479
10056.000,85.000000,17072.565
10056.000,86.000000,17883.226
10056.000,87.000000,16794.830
10056.000,88.000000,17279.467
10056.000,89.000000,16048.765
10056.000,90.000000,16808.756
10057.000,81.000000,14324.621
10057.000,82.000000,12901.108
10057.000,83.000000,12627.859
10057.000,84.000000,14083.774
10057.000,85.000000,18378.076
10057.000,86.000000,17206.788
10057.000,87.000000,17155.147
10057.000,88.000000,16058.214
10057.000,89.000000,17473.211
10057.000,90.000000,18628.150
10057.000,91.000000,19288.279
10058.000,84.000000,16010.845
10058.000,85.000000,16660.756
10058.000,88.000000,17387.523
10058.000,89.000000,16785.308
10058.000,90.000000,15614.833
10058.000,91.000000,15786.118
10059.000,81.000000,15450.085
10059.000,82.000000,13336.400
10059.000,83.000000,9414.3770
10059.000,84.000000,12794.400
10059.000,85.000000,15703.659
10059.000,86.000000,13669.880
10059.000,87.000000,13109.658
10059.000,88.000000,12277.103
10059.000,89.000000,12012.907
10059.000,90.000000,13382.489
10059.000,91.000000,11934.651
10060.000,81.000000,14387.894
10060.000,82.000000,15551.857
10060.000,83.000000,12449.665
10060.000,84.000000,11584.102
10060.000,85.000000,9222.1885
10060.000,86.000000,13587.479
10060.000,87.000000,14433.645
10060.000,88.000000,12720.678
10061.000,81.000000,15456.952
10061.000,82.000000,17024.076
10061.000,83.000000,18980.395
10061.000,84.000000,18217.222
10061.000,85.000000,21832.428
10061.000,86.000000,17181.859
10061.000,87.000000,17232.432
10061.000,88.000000,16903.880
10061.000,89.000000,17804.039
10061.000,90.000000,17200.491
10061.000,91.000000,14976.124
10062.000,81.000000,14946.773
10062.000,82.000000,12139.098
10062.000,83.000000,13408.979
10062.000,84.000000,8820.6849
10062.000,85.000000,11832.932
10062.000,86.000000,15200.905
10062.000,87.000000,13043.794
10062.000,88.000000,12467.897
10062.000,89.000000,12797.277
10062.000,90.000000,13288.910
10062.000,91.000000,12419.080
10063.000,81.000000,22397.109
10063.000,82.000000,22129.199
10063.000,83.000000,20236.685
10063.000,84.000000,24931.915
10063.000,85.000000,23242.547
10063.000,86.000000,23761.241
10063.000,87.000000,22618.515
10063.000,88.000000,24284.393
10063.000,89.000000,23320.771
10063.000,90.000000,23797.372
10064.000,81.000000,18607.862
10064.000,82.000000,18151.138
10064.000,83.000000,18678.810
10064.000,84.000000,17730.452
10064.000,85.000000,17962.648
10064.000,86.000000,22292.562
10064.000,87.000000,22063.947
10064.000,88.000000,22915.687
10064.000,89.000000,24058.004
10064.000,90.000000,26156.412
10064.000,91.000000,23494.424
10065.000,81.000000,16976.165
10065.000,82.000000,17223.190
10065.000,83.000000,16054.625
10065.000,84.000000,16882.836
10065.000,85.000000,15744.685
10065.000,86.000000,13710.780
10065.000,87.000000,16231.367
10065.000,88.000000,18898.987
10065.000,89.000000,18321.862
10065.000,90.000000,19011.075
10065.000,91.000000,17990.792
10066.000,81.000000,17645.810
10066.000,82.000000,19034.871
10066.000,83.000000,18898.156
10066.000,84.000000,18917.727
10066.000,85.000000,18783.607
10066.000,86.000000,19120.714
10066.000,87.000000,18763.903
10066.000,88.000000,20448.643
10066.000,89.000000,19948.725
10066.000,90.000000,20366.639
10066.000,91.000000,20181.514
10067.000,81.000000,21486.490
10067.000,82.000000,19076.773
10067.000,83.000000,20784.760
10067.000,84.000000,18266.265
10067.000,85.000000,18611.922
10067.000,86.000000,18526.588
10067.000,87.000000,20511.724
10067.000,88.000000,18433.965
10067.000,89.000000,19292.956
10067.000,90.000000,19708.919
10067.000,91.000000,19094.645
10068.000,81.000000,17136.318
10068.000,82.000000,19944.957
10068.000,83.000000,20595.268
10068.000,84.000000,21774.587
10068.000,85.000000,18559.541
10068.000,86.000000,19749.926
10068.000,87.000000,19432.739
10068.000,88.000000,19722.082
10068.000,89.000000,17669.882
10068.000,90.000000,18279.751
10068.000,91.000000,18865.322
10069.000,81.000000,19309.786
10069.000,82.000000,19770.279
10069.000,83.000000,20954.441
10069.000,84.000000,19672.067
10069.000,85.000000,19731.105
10069.000,86.000000,20069.078
10069.000,87.000000,20354.741
10069.000,88.000000,19658.186
10069.000,89.000000,19304.851
10069.000,90.000000,21109.293
10069.000,91.000000,23755.737
10070.000,81.000000,18371.200
10070.000,82.000000,18632.618
10070.000,83.000000,18942.273
10070.000,84.000000,17862.202
10070.000,85.000000,17616.394
10070.000,86.000000,18570.706
10070.000,87.000000,18355.148
10070.000,88.000000,16841.002
10070.000,89.000000,18222.560
10070.000,90.000000,18439.014
10070.000,91.000000,16861.998
10071.000,81.000000,21409.522
10071.000,82.000000,21144.387
10071.000,83.000000,20521.653
10071.000,84.000000,18598.763
10071.000,85.000000,20078.445
10071.000,86.000000,19306.023
10071.000,87.000000,19261.321
10071.000,88.000000,20105.488
10071.000,89.000000,20664.030
10071.000,90.000000,20179.281
10072.000,81.000000,7550.9348
10072.000,82.000000,17866.059
10072.000,83.000000,13932.886
10072.000,84.000000,15320.514
10072.000,85.000000,14175.199
10072.000,86.000000,14523.105
10072.000,87.000000,16080.035
10072.000,88.000000,14331.035
10072.000,89.000000,14374.662
10072.000,90.000000,13266.739
10072.000,91.000000,14763.601
10073.000,81.000000,16708.353
10073.000,82.000000,17370.257
10073.000,83.000000,18004.719
10073.000,84.000000,16832.532
10073.000,85.000000,17801.686
10073.000,86.000000,17640.132
10073.000,87.000000,17813.660
10073.000,88.000000,18000.935
10073.000,89.000000,17319.470
10073.000,90.000000,18976.918
10073.000,91.000000,17686.389
10074.000,81.000000,17342.575
10074.000,82.000000,18210.080
10074.000,83.000000,18015.458
10074.000,84.000000,17730.340
10074.000,85.000000,18492.250
10074.000,86.000000,17491.841
10074.000,87.000000,17732.503
10074.000,88.000000,18721.163
10074.000,89.000000,17652.053
10074.000,90.000000,17575.508
10074.000,91.000000,17170.341
10075.000,81.000000,14243.212
10075.000,82.000000,16529.915
10075.000,83.000000,17071.611
10075.000,84.000000,20339.478
10075.000,85.000000,18706.534
10075.000,86.000000,17343.401
10075.000,87.000000,16959.387
10075.000,88.000000,16981.546
10075.000,89.000000,17040.199
10075.000,90.000000,15734.693
10075.000,91.000000,12375.509
10076.000,81.000000,19200.903
10076.000,82.000000,18690.892
10076.000,83.000000,16220.360
10076.000,84.000000,16672.744
10076.000,85.000000,16238.637
10076.000,86.000000,15362.297
10076.000,87.000000,16322.218
10076.000,88.000000,18500.481
10076.000,89.000000,17418.129
10076.000,90.000000,20930.601
10077.000,81.000000,18525.650
10077.000,82.000000,18452.567
10077.000,83.000000,19047.646
10077.000,84.000000,17970.516
10077.000,85.000000,18358.043
10077.000,86.000000,17048.395
10077.000,87.000000,16423.017
10077.000,88.000000,19010.679
10077.000,89.000000,18002.546
10077.000,90.000000,17966.921
10077.000,91.000000,16198.982
10078.000,81.000000,21170.436
10078.000,82.000000,19670.888
10078.000,83.000000,18937.973
10078.000,84.000000,18834.617
10078.000,85.000000,19189.399
10078.000,86.000000,17242.810
10078.000,87.000000,16746.587
10078.000,88.000000,16355.568
10078.000,89.000000,17398.669
10078.000,90.000000,18736.001
10078.000,91.000000,18701.115
10079.000,81.000000,17525.057
10079.000,82.000000,17363.961
10079.000,83.000000,15006.061
10079.000,84.000000,15777.234
10079.000,85.000000,16525.680
10079.000,86.000000,16236.159
10079.000,87.000000,16934.100
10079.000,88.000000,17270.464
10079.000,89.000000,17907.359
10079.000,90.000000,17398.517
10079.000,91.000000,17204.116
10080.000,81.000000,17514.520
10080.000,82.000000,18947.135
10080.000,83.000000,18570.544
10080.000,84.000000,18943.936
10080.000,85.000000,18663.627
10080.000,86.000000,16973.748
10080.000,87.000000,18114.996
10080.000,88.000000,16243.720
10080.000,89.000000,17414.877
10080.000,90.000000,16989.676
10081.000,81.000000,19788.491
10081.000,82.000000,17309.216
10081.000,83.000000,17233.987
10081.000,84.000000,19828.805
10081.000,85.000000,33188.302
10081.000,86.000000,49267.523
10081.000,87.000000,20245.398
10081.000,88.000000,29460.731
10081.000,89.000000,20532.428
10081.000,90.000000,20051.068
10081.000,91.000000,22064.646
10082.000,81.000000,21237.757
10082.000,82.000000,25049.925
10082.000,83.000000,28977.878
10082.000,84.000000,19209.755
10082.000,85.000000,17734.969
10082.000,86.000000,17401.803
10082.000,87.000000,21588.663
10082.000,88.000000,19396.858
10082.000,89.000000,15494.128
10082.000,90.000000,15363.809
10082.000,91.000000,16297.961
10083.000,81.000000,26063.971
10083.000,82.000000,31593.099
10083.000,83.000000,31271.770
10083.000,84.000000,15692.900
10083.000,85.000000,27116.496
10083.000,86.000000,38105.331
10083.000,87.000000,20511.527
10083.000,88.000000,20693.930
10083.000,89.000000,21778.570
10083.000,90.000000,19996.789
10083.000,91.000000,25540.972
10084.000,81.000000,23210.285
10084.000,82.000000,16819.398
10084.000,83.000000,16454.356
10084.000,84.000000,35436.469
10084.000,85.000000,32778.174
10084.000,86.000000,45999.402
10084.000,87.000000,20285.902
10084.000,88.000000,30016.164
10084.000,89.000000,21398.017
10084.000,90.000000,20729.648
10084.000,91.000000,21811.672
10085.000,81.000000,19001.123
10085.000,82.000000,25998.669
10085.000,83.000000,25699.619
10085.000,84.000000,14358.469
10085.000,85.000000,22876.615
10086.000,81.000000,16352.242
10086.000,82.000000,17424.137
10086.000,83.000000,18358.065
10086.000,84.000000,19380.065
10086.000,85.000000,31409.580
10086.000,86.000000,48375.181
10086.000,87.000000,28404.235
10086.000,88.000000,31799.917
