plant       ,year        ,productivity
35110258.,89.000000,793.86526
35110965.,81.000000,1300.0564
35110965.,82.000000,901.20796
35110965.,83.000000,974.09175
35110965.,84.000000,831.53875
35110965.,85.000000,872.56549
35110966.,81.000000,1094.7979
35110966.,82.000000,917.74601
35110966.,83.000000,1112.9403
35110966.,84.000000,1237.9100
35110966.,85.000000,1002.2438
35110967.,81.000000,480.16619
35110967.,82.000000,1256.7671
35110967.,83.000000,633.29830
35110967.,84.000000,726.67135
35110967.,85.000000,657.07545
35110968.,81.000000,863.76777
35110968.,82.000000,1124.1051
35110968.,83.000000,901.19642
35110968.,84.000000,955.96925
35110968.,85.000000,833.53159
35110968.,86.000000,813.85435
35110968.,87.000000,779.39777
35110968.,88.000000,831.75129
35110968.,89.000000,990.81655
35110968.,90.000000,958.85068
35110968.,91.000000,970.14794
35110969.,81.000000,869.02339
35110969.,82.000000,713.46346
35110969.,83.000000,863.24975
35110969.,84.000000,749.84626
35110969.,85.000000,930.01991
35110971.,81.000000,740.66264
35110971.,84.000000,762.95748
35110971.,85.000000,733.20241
35110971.,86.000000,674.49694
35110972.,81.000000,1379.2839
35110972.,82.000000,1224.7300
35110972.,83.000000,266.06655
35110972.,84.000000,811.07731
35110972.,85.000000,1112.3369
35110973.,81.000000,935.65713
35110973.,82.000000,1016.8475
35110973.,83.000000,841.90382
35110973.,84.000000,703.97348
35110973.,85.000000,746.48857
35110973.,86.000000,879.99789
35110973.,87.000000,945.90805
35110973.,88.000000,631.32165
35110973.,89.000000,685.54186
35110973.,90.000000,737.06523
35110973.,91.000000,827.62562
35110974.,81.000000,644.36441
35110974.,82.000000,651.24200
35110974.,83.000000,829.03631
35110974.,84.000000,955.46256
35110974.,85.000000,1103.1285
35110974.,86.000000,920.42089
35110974.,87.000000,918.54357
35110974.,88.000000,959.21846
35110974.,89.000000,1041.1519
35110974.,90.000000,1041.0534
35110974.,91.000000,1135.3095
35110975.,81.000000,904.65829
35110975.,82.000000,955.18752
35110975.,83.000000,902.58299
35110975.,84.000000,826.12388
35110975.,85.000000,798.20593
35110975.,86.000000,669.48327
35110975.,87.000000,774.54411
35110975.,88.000000,746.53104
35110975.,89.000000,733.47882
35110975.,90.000000,726.03179
35110975.,91.000000,697.76992
35110976.,81.000000,1137.1098
35110976.,82.000000,918.83618
35110976.,83.000000,838.21631
35110976.,84.000000,671.64918
35110976.,85.000000,896.42183
35110976.,86.000000,770.83514
35110976.,87.000000,795.56018
35110976.,88.000000,1026.1838
35110976.,89.000000,824.72053
35110976.,90.000000,901.07239
35110976.,91.000000,576.47713
35110977.,81.000000,627.33417
35110977.,82.000000,832.79710
35110977.,83.000000,696.05897
35110977.,84.000000,730.78723
35110977.,85.000000,710.33116
35110977.,86.000000,928.42098
35110977.,87.000000,846.17442
35110977.,88.000000,919.21718
35110977.,89.000000,763.01151
35110977.,90.000000,839.24406
35110977.,91.000000,741.79077
35110978.,81.000000,1047.0558
35110978.,82.000000,846.14811
35110978.,83.000000,866.19071
35110978.,84.000000,842.91026
35110978.,85.000000,766.64064
35110978.,86.000000,960.69700
35110978.,87.000000,997.05112
35110978.,88.000000,827.16405
35110978.,89.000000,761.96875
35110978.,90.000000,899.19001
35110978.,91.000000,967.48211
35110979.,81.000000,1006.0456
35110979.,82.000000,785.57967
35110979.,83.000000,584.11803
35110979.,84.000000,513.28244
35110979.,85.000000,790.50593
35110979.,86.000000,671.46598
35110979.,87.000000,702.63270
35110979.,88.000000,752.93567
35110979.,89.000000,734.36047
35110980.,81.000000,840.46713
35110980.,82.000000,813.17246
35110980.,83.000000,850.83606
35110980.,84.000000,859.06289
35110980.,85.000000,842.12029
35110980.,86.000000,833.23370
35110980.,87.000000,937.11179
35110980.,88.000000,832.66570
35110980.,89.000000,716.34228
35110980.,90.000000,767.07480
35110980.,91.000000,779.67345
35110981.,81.000000,736.92407
35110981.,82.000000,823.20935
35110981.,83.000000,771.96558
35110981.,84.000000,816.12386
35110981.,85.000000,705.71949
35110981.,86.000000,723.27766
35110981.,87.000000,768.02740
35110981.,88.000000,749.32141
35110981.,89.000000,752.43909
35110981.,90.000000,848.68471
35110981.,91.000000,848.85301
35110982.,81.000000,672.83680
35110982.,82.000000,753.19505
35110982.,83.000000,662.75016
35110982.,84.000000,706.76083
35110982.,85.000000,702.65588
35110982.,86.000000,620.70178
35110982.,87.000000,624.18674
35110982.,88.000000,671.47597
35110982.,89.000000,679.27056
35110982.,90.000000,651.76388
35110982.,91.000000,1055.8867
35110983.,81.000000,1037.9041
35110983.,82.000000,1121.2093
35110983.,83.000000,1075.8255
35110983.,84.000000,1178.1665
35110983.,85.000000,1135.3353
35110983.,86.000000,1108.4575
35110983.,87.000000,1588.7129
35110983.,88.000000,1155.0351
35110983.,89.000000,1001.2976
35110983.,90.000000,982.90759
35110983.,91.000000,910.87549
35110984.,81.000000,953.68192
35110984.,82.000000,935.41480
35110984.,83.000000,931.37142
35110984.,84.000000,880.08265
35110984.,85.000000,769.74440
35110984.,86.000000,761.97872
35110984.,87.000000,802.46772
35110984.,88.000000,720.91594
35110984.,89.000000,766.53138
35110984.,90.000000,869.90623
35110984.,91.000000,871.20779
35110985.,81.000000,768.44014
35110985.,82.000000,989.41252
35110985.,83.000000,901.69938
35110985.,84.000000,649.75044
35110985.,85.000000,727.44496
35110985.,86.000000,656.74804
35110985.,87.000000,680.23576
35110985.,88.000000,716.65000
35110985.,89.000000,689.96565
35110985.,90.000000,753.15565
35110985.,91.000000,778.21455
35110986.,81.000000,816.49803
35110986.,82.000000,793.15613
35110986.,83.000000,773.90693
35110986.,84.000000,730.49792
35110986.,85.000000,770.19851
35110986.,86.000000,707.61249
35110986.,87.000000,718.74783
35110986.,88.000000,681.36276
35110986.,89.000000,709.71519
35110986.,90.000000,784.24079
35110986.,91.000000,752.93758
35110987.,81.000000,1069.3580
35110987.,82.000000,996.95548
35110987.,83.000000,903.85024
35110987.,84.000000,822.18833
35110987.,85.000000,713.50284
35110987.,86.000000,795.77135
35110987.,87.000000,711.38963
35110987.,88.000000,712.26048
35110987.,89.000000,744.70195
35110987.,90.000000,730.18551
35110987.,91.000000,568.39691
35110988.,81.000000,725.95343
35110988.,82.000000,939.64093
35110988.,83.000000,964.75650
35110988.,84.000000,647.91928
35110988.,85.000000,903.51415
35110988.,86.000000,965.07632
35110988.,87.000000,1025.8834
35110988.,88.000000,1024.6753
35110988.,89.000000,919.13014
35110988.,90.000000,1014.7076
35110988.,91.000000,909.22859
35110989.,81.000000,1124.6295
35110989.,82.000000,1292.4517
35110989.,83.000000,1411.2695
35110989.,84.000000,1156.6084
35110989.,85.000000,1143.6156
35110989.,86.000000,748.49059
35110989.,87.000000,1089.2021
35110989.,88.000000,1030.7035
35110989.,89.000000,1225.5943
35110989.,90.000000,944.93773
35110989.,91.000000,932.19771
35110991.,81.000000,700.28193
35110991.,82.000000,737.89452
35110991.,83.000000,715.37668
35110991.,84.000000,681.24543
35110991.,85.000000,600.01948
35110991.,86.000000,567.96914
35110991.,87.000000,572.94143
35110991.,88.000000,666.12108
35110991.,89.000000,638.71723
35110992.,82.000000,730.15202
35110992.,83.000000,749.30681
35110992.,84.000000,702.49768
35110992.,85.000000,728.84977
35110992.,87.000000,726.33519
35110992.,88.000000,696.68860
35110992.,89.000000,723.16859
35110992.,90.000000,685.48369
35110992.,91.000000,694.03683
35110993.,81.000000,641.03842
35110993.,82.000000,664.76981
35110993.,83.000000,612.49878
35110993.,84.000000,608.01520
35110993.,85.000000,571.88689
35110993.,86.000000,521.55604
35110993.,87.000000,530.13891
35110993.,88.000000,520.90866
