plant          ,year           ,CD-productivity
38110250.,81.000000,8.5572201
38110732.,89.000000,6.0485249
38110732.,90.000000,6.0888648
38110962.,82.000000,4.9109095
38110962.,83.000000,3.9606769
38111192.,81.000000,6.0958137
38111195.,81.000000,4.8930223
38111195.,83.000000,5.1752621
38111214.,81.000000,3.8421393
38111214.,82.000000,4.3129249
38111214.,83.000000,4.6252477
38111222.,86.000000,6.6650950
38111222.,87.000000,6.8198951
38111394.,86.000000,9.6987824
38111394.,88.000000,6.8679892
38111394.,89.000000,6.7666955
38111394.,90.000000,6.6457800
38111394.,91.000000,4.7863798
38111407.,81.000000,5.6088468
38111407.,82.000000,5.3867367
38111407.,83.000000,4.5429805
38111407.,84.000000,5.0452459
38111407.,85.000000,5.0685814
38111407.,86.000000,4.9899568
38111407.,87.000000,5.3693382
38111407.,88.000000,5.9045868
38111407.,89.000000,5.7152498
38111407.,90.000000,6.1378773
38111407.,91.000000,5.7417049
38111408.,81.000000,4.9284919
38111408.,82.000000,4.9624567
38111408.,83.000000,4.7394189
38111408.,84.000000,4.5232268
38111408.,85.000000,4.6626976
38111408.,86.000000,4.6169766
38111408.,87.000000,4.5126564
38111408.,88.000000,4.6125674
38111408.,89.000000,4.5470514
38111408.,90.000000,6.4030662
38111408.,91.000000,4.9120934
38111409.,81.000000,5.3836680
38111409.,82.000000,4.6835432
38111409.,83.000000,4.5880937
38111409.,84.000000,4.5422090
38111409.,85.000000,5.0415645
38111409.,86.000000,5.1333035
38111409.,87.000000,4.7805099
38111409.,88.000000,4.9491308
38111409.,89.000000,4.8595399
38111410.,81.000000,8.0072683
38111410.,82.000000,7.9856053
38111410.,83.000000,5.7134757
38111410.,84.000000,5.2535127
38111410.,85.000000,6.2673405
38111410.,86.000000,6.4703375
38111410.,87.000000,6.6319535
38111410.,88.000000,6.9636605
38111410.,89.000000,7.3332417
38111410.,90.000000,7.1173218
38111410.,91.000000,7.1313896
38111411.,81.000000,8.1545916
38111411.,82.000000,8.5548635
38111411.,83.000000,8.8668091
38111411.,84.000000,9.8776184
38111411.,85.000000,8.0953158
38111411.,86.000000,8.7175957
38111411.,87.000000,8.1732025
38111411.,88.000000,8.6818769
38111411.,89.000000,9.2116736
38111411.,90.000000,8.7233139
38111411.,91.000000,8.0547748
38111412.,81.000000,6.7906284
38111412.,82.000000,6.2858125
38111412.,83.000000,5.6080450
38111412.,84.000000,5.8558991
38111412.,85.000000,5.5429157
38111412.,86.000000,6.6915844
38111412.,87.000000,6.6521309
