plant          ,year           ,CD-productivity
10033.000,86.000000,55.252366
10033.000,87.000000,51.936179
10063.000,91.000000,69.064229
10313.000,88.000000,12.241249
10313.000,89.000000,14.370943
10565.000,87.000000,13.252876
10971.000,82.000000,40.735440
10971.000,83.000000,40.548629
10971.000,87.000000,39.692680
10971.000,88.000000,31.940868
10971.000,89.000000,31.261410
10971.000,90.000000,36.781026
10971.000,91.000000,35.774864
10992.000,81.000000,49.405397
10992.000,86.000000,60.552915
10995.000,81.000000,31.617131
10995.000,82.000000,20.050247
11008.000,81.000000,234.66281
11008.000,82.000000,231.94164
11008.000,83.000000,234.38482
11008.000,84.000000,226.27783
11008.000,85.000000,225.77510
11008.000,86.000000,218.14483
11008.000,87.000000,215.32178
11008.000,88.000000,176.38865
11008.000,89.000000,179.29334
11008.000,90.000000,162.76220
11008.000,91.000000,149.51390
11009.000,81.000000,112.33628
11009.000,82.000000,97.138248
11009.000,83.000000,148.27955
11009.000,84.000000,103.92635
11009.000,85.000000,135.27942
11009.000,86.000000,136.35835
11009.000,87.000000,119.71437
11009.000,88.000000,118.30432
11009.000,89.000000,112.15936
11009.000,90.000000,91.651801
11009.000,91.000000,90.830366
11010.000,81.000000,483.06642
11010.000,82.000000,281.31952
11010.000,83.000000,191.84112
11010.000,84.000000,158.55961
11010.000,85.000000,164.33166
11010.000,86.000000,132.84398
11010.000,87.000000,139.23805
11010.000,88.000000,89.073368
11010.000,90.000000,57.462935
11010.000,91.000000,60.933504
11011.000,81.000000,163.68517
11011.000,82.000000,138.44251
11011.000,83.000000,128.54598
11011.000,84.000000,139.06928
11011.000,85.000000,186.21441
11011.000,86.000000,132.00644
11011.000,87.000000,134.93884
11011.000,88.000000,126.48463
11011.000,89.000000,160.05291
11011.000,90.000000,153.30767
11011.000,91.000000,153.98041
11012.000,81.000000,123.91233
11012.000,82.000000,130.20700
11012.000,83.000000,166.64328
11012.000,84.000000,150.66983
11012.000,85.000000,150.24871
11012.000,86.000000,153.45419
11012.000,87.000000,93.487325
11012.000,88.000000,102.09234
11012.000,89.000000,79.642140
11012.000,90.000000,83.572060
11012.000,91.000000,325.64352
11013.000,81.000000,24.761768
11013.000,82.000000,34.188132
11013.000,83.000000,33.910801
11013.000,84.000000,41.676760
11013.000,85.000000,40.200085
11013.000,86.000000,42.513052
11013.000,87.000000,43.605228
11013.000,88.000000,54.261209
11013.000,89.000000,48.125542
11013.000,90.000000,43.601015
11013.000,91.000000,39.266780
11014.000,81.000000,67.256648
11014.000,82.000000,56.674914
11014.000,83.000000,65.773741
11014.000,84.000000,88.626881
11014.000,85.000000,85.066052
11014.000,86.000000,112.78649
11014.000,87.000000,104.34842
11014.000,88.000000,114.88238
11014.000,89.000000,105.98193
11014.000,90.000000,89.556190
