plant       ,year        ,productivity
10250.000,81.000000,26646.950
10732.000,89.000000,26524.612
10732.000,90.000000,27431.684
10962.000,82.000000,22533.298
10962.000,83.000000,19556.310
11192.000,81.000000,34324.353
11195.000,81.000000,22540.169
11195.000,83.000000,23912.672
11214.000,81.000000,18611.692
11214.000,82.000000,21053.789
11214.000,83.000000,21918.173
11222.000,86.000000,24389.914
11222.000,87.000000,24650.248
11394.000,86.000000,33404.425
11394.000,88.000000,26307.350
11394.000,89.000000,29274.056
11394.000,90.000000,30261.033
11394.000,91.000000,25800.190
11398.000,81.000000,24654.254
11398.000,82.000000,22758.290
11407.000,81.000000,25375.675
11407.000,82.000000,24424.378
11407.000,83.000000,21033.887
11407.000,84.000000,23228.388
11407.000,85.000000,22904.614
11407.000,86.000000,22055.305
11407.000,87.000000,23561.998
11407.000,88.000000,25557.277
11407.000,89.000000,24760.527
11407.000,90.000000,26364.808
11407.000,91.000000,24594.542
11408.000,81.000000,22816.657
11408.000,82.000000,23079.947
11408.000,83.000000,21967.752
11408.000,84.000000,20648.915
11408.000,85.000000,21517.012
11408.000,86.000000,21330.142
11408.000,87.000000,20848.525
11408.000,88.000000,21338.941
11408.000,89.000000,20958.730
11408.000,90.000000,29572.249
11408.000,91.000000,22659.688
11409.000,81.000000,24417.945
11409.000,82.000000,21480.099
11409.000,83.000000,20818.304
11409.000,84.000000,20790.522
11409.000,85.000000,23025.665
11409.000,86.000000,23626.287
11409.000,87.000000,21967.516
11409.000,88.000000,22693.074
11409.000,89.000000,22161.006
11410.000,81.000000,23732.126
11410.000,82.000000,26263.920
11410.000,83.000000,24631.351
11410.000,84.000000,22147.542
11410.000,85.000000,24114.956
11410.000,86.000000,27998.929
11410.000,87.000000,30146.770
11410.000,88.000000,32288.523
11410.000,89.000000,34221.243
11410.000,90.000000,32379.721
11410.000,91.000000,32943.387
11411.000,81.000000,35574.185
11411.000,82.000000,36659.240
11411.000,83.000000,36313.916
11411.000,84.000000,42628.642
11411.000,85.000000,34686.897
11411.000,86.000000,37907.055
11411.000,87.000000,35655.532
11411.000,88.000000,38047.799
11411.000,89.000000,40067.728
11411.000,90.000000,37864.844
11411.000,91.000000,34873.092
11412.000,81.000000,29528.760
11412.000,82.000000,27358.319
11412.000,83.000000,24431.052
11412.000,84.000000,25539.801
11412.000,85.000000,24471.175
11412.000,86.000000,27403.678
11412.000,87.000000,27117.794
11412.000,88.000000,26925.148
11412.000,89.000000,24421.713
11412.000,90.000000,21139.280
11412.000,91.000000,22684.829
11413.000,81.000000,22727.576
11413.000,82.000000,24644.064
11413.000,83.000000,33975.793
11413.000,84.000000,33228.219
11413.000,85.000000,36171.401
11413.000,86.000000,32835.871
11413.000,87.000000,35260.610
11413.000,88.000000,32634.719
11413.000,89.000000,33958.758
11413.000,90.000000,28999.920
11413.000,91.000000,31063.183
11414.000,81.000000,23311.194
11414.000,82.000000,29906.968
11414.000,83.000000,25876.494
11414.000,84.000000,21537.245
11414.000,85.000000,25593.213
11414.000,86.000000,23466.017
11414.000,87.000000,21604.020
11414.000,88.000000,23713.970
11414.000,89.000000,22030.099
11414.000,90.000000,21699.053
11414.000,91.000000,20681.840
11415.000,83.000000,33363.803
11415.000,84.000000,27454.381
11415.000,85.000000,33127.158
11415.000,87.000000,30372.220
11415.000,88.000000,31941.433
11415.000,89.000000,30778.064
11415.000,90.000000,36316.897
11415.000,91.000000,38739.785
11416.000,81.000000,25702.684
11416.000,82.000000,25938.438
11416.000,83.000000,27343.462
11416.000,84.000000,22665.064
11416.000,85.000000,23220.744
11416.000,86.000000,23389.552
11416.000,87.000000,25189.871
11416.000,88.000000,27286.204
11416.000,89.000000,22707.604
11416.000,90.000000,28502.647
11416.000,91.000000,28680.181
11417.000,81.000000,31140.526
11417.000,82.000000,24738.572
11417.000,83.000000,25733.173
11417.000,84.000000,23650.792
11417.000,85.000000,26548.102
11417.000,86.000000,24215.468
11417.000,87.000000,27796.399
11417.000,88.000000,27877.949
11417.000,89.000000,29097.253
11417.000,90.000000,28418.244
11417.000,91.000000,28878.072
11418.000,81.000000,23525.872
11418.000,82.000000,29451.552
11418.000,83.000000,29581.331
11418.000,84.000000,25720.843
11418.000,85.000000,21964.060
11419.000,81.000000,16686.488
11419.000,82.000000,21552.414
11419.000,83.000000,20337.337
11419.000,84.000000,20198.734
11419.000,85.000000,18948.321
11419.000,86.000000,19184.196
11419.000,87.000000,20388.481
11419.000,88.000000,21161.823
11419.000,89.000000,23605.594
11419.000,90.000000,17722.714
11419.000,91.000000,19175.932
11420.000,81.000000,27585.281
11420.000,82.000000,22223.600
11420.000,83.000000,25598.724
11420.000,84.000000,29071.140
11420.000,85.000000,27396.983
11420.000,86.000000,28837.848
11420.000,87.000000,27339.363
11420.000,88.000000,30720.005
11420.000,89.000000,30154.759
11420.000,90.000000,31300.466
11420.000,91.000000,25704.797
11421.000,81.000000,24861.340
11421.000,82.000000,27478.569
11421.000,83.000000,23016.498
11421.000,84.000000,22959.633
11421.000,85.000000,28950.091
11421.000,86.000000,21095.492
11421.000,87.000000,23426.004
11421.000,88.000000,24716.994
11421.000,89.000000,24133.660
11421.000,90.000000,23613.232
11421.000,91.000000,25025.014
11422.000,81.000000,36700.779
11422.000,82.000000,22664.121
11422.000,83.000000,15872.298
11422.000,84.000000,17219.182
11422.000,85.000000,10786.919
11422.000,86.000000,12351.238
11423.000,81.000000,22716.575
11423.000,82.000000,24690.713
11423.000,83.000000,21903.196
11423.000,84.000000,23483.044
11423.000,85.000000,22091.443
