plant          ,year           ,CD-productivity
33110313.,87.000000,5.8956499
33110808.,81.000000,6.1673911
33110808.,82.000000,9.1651542
33110808.,83.000000,7.8950961
33110808.,84.000000,8.0364617
33110808.,85.000000,6.2594844
33110808.,86.000000,6.2510293
33110808.,87.000000,6.7381527
33110808.,88.000000,7.8176603
33110808.,89.000000,6.9483304
33110808.,90.000000,5.5980024
33110808.,91.000000,7.0054325
33110809.,81.000000,11.936462
33110809.,82.000000,11.486026
33110809.,83.000000,10.581479
33110809.,84.000000,10.446353
33110809.,85.000000,9.9535305
33110809.,86.000000,9.1840803
33110810.,81.000000,6.9109572
33110810.,82.000000,7.6428313
33110810.,83.000000,7.5581913
33110810.,84.000000,7.1968146
33110810.,85.000000,7.5938760
33110810.,86.000000,8.2694043
33110810.,87.000000,8.2893959
33110810.,88.000000,12.382385
33110810.,89.000000,7.5630544
33110810.,90.000000,7.1540553
33110810.,91.000000,6.6484542
33110811.,81.000000,9.0354351
33110811.,82.000000,8.4228475
33110811.,83.000000,9.6131934
33110811.,84.000000,10.017476
33110811.,85.000000,8.6229799
33110811.,86.000000,11.280380
33110811.,87.000000,8.9130544
33110812.,83.000000,8.8935779
33110812.,84.000000,9.0895324
33110812.,85.000000,7.6166997
33110812.,86.000000,7.1913983
33110812.,87.000000,7.7190237
33110812.,88.000000,8.1607277
33110813.,81.000000,12.213739
33110813.,82.000000,12.167642
33110813.,83.000000,11.895316
33110813.,84.000000,12.595056
33110813.,85.000000,12.964712
33110813.,86.000000,13.749133
33110813.,87.000000,12.478649
33110813.,88.000000,13.604387
33110813.,89.000000,14.856063
33110813.,90.000000,13.677618
33110813.,91.000000,13.755244
33110814.,81.000000,11.918111
33110814.,82.000000,10.527473
33110814.,83.000000,9.7327559
33110814.,84.000000,10.508943
33110814.,85.000000,11.577997
33110814.,86.000000,11.406496
33110814.,87.000000,8.8970782
33110815.,81.000000,11.543432
33110815.,82.000000,11.650320
33110815.,83.000000,10.420274
33110815.,84.000000,9.5198048
33110815.,85.000000,8.7761448
