plant          ,year           ,CD-productivity
34210912.,86.000000,5.9226596
34210912.,87.000000,5.8064572
34210912.,88.000000,6.5499685
34210912.,89.000000,7.1587730
34210912.,90.000000,8.4358938
34210912.,91.000000,6.7325834
34210915.,87.000000,6.4860726
34210915.,88.000000,4.7034097
34210915.,89.000000,4.6929859
34210915.,90.000000,4.8342815
34210915.,91.000000,5.4519680
34210926.,82.000000,4.9038913
34210927.,81.000000,6.8194445
34210927.,82.000000,6.0249357
34210927.,83.000000,5.3730326
34210927.,84.000000,4.9405117
34210927.,85.000000,5.5338746
34210927.,86.000000,6.7224593
34210927.,87.000000,6.9548731
34210927.,88.000000,5.9097335
34210927.,89.000000,6.0588873
34210927.,90.000000,5.5759612
34210927.,91.000000,5.3067878
34210928.,81.000000,6.7014644
34210928.,82.000000,6.0806163
34210928.,83.000000,5.9032931
34210928.,84.000000,5.6832301
34210928.,85.000000,6.5398479
34210928.,86.000000,6.6841572
34210929.,81.000000,5.5263249
34210929.,82.000000,7.0372085
34210929.,83.000000,7.3606413
34210929.,84.000000,5.7889928
34210929.,85.000000,4.5448974
34210929.,86.000000,5.1672145
34210929.,87.000000,4.4516583
34210929.,88.000000,5.1683158
34210929.,89.000000,5.8685806
34210929.,90.000000,9.3935614
34210929.,91.000000,6.6359084
34210930.,84.000000,6.7910212
34210930.,85.000000,7.3989622
34210930.,86.000000,6.7435155
34210930.,87.000000,6.7278737
34210930.,88.000000,6.1512529
34210930.,89.000000,6.4678185
34210930.,91.000000,6.4359258
34210931.,81.000000,6.1609383
34210931.,82.000000,4.8179751
34210931.,83.000000,3.9922187
34210931.,84.000000,4.4985120
34210931.,85.000000,4.1127199
34210931.,86.000000,4.2849947
34210931.,87.000000,3.8451287
34210931.,88.000000,4.1356998
34210931.,89.000000,4.1994150
34210931.,90.000000,4.1786340
34210932.,81.000000,6.9209389
34210932.,82.000000,7.5149594
34210932.,83.000000,9.2216258
34210932.,84.000000,6.1022937
34210932.,85.000000,6.3170310
34210932.,86.000000,5.7735668
34210932.,87.000000,6.3905354
34210932.,88.000000,5.2945728
34210933.,81.000000,5.7015283
34210933.,82.000000,5.0450384
34210933.,83.000000,4.5063426
34210933.,84.000000,4.8543090
34210933.,85.000000,4.4903006
34210933.,86.000000,4.5828994
34210933.,87.000000,5.3798155
34210933.,88.000000,5.2835662
34210933.,89.000000,5.1367713
34210933.,90.000000,4.8275505
34210933.,91.000000,4.9682765
34210934.,81.000000,5.6897654
34210934.,82.000000,5.4062689
34210934.,83.000000,5.2364372
34210934.,84.000000,5.0437266
34210934.,85.000000,5.7299962
34210934.,86.000000,5.8292380
34210934.,87.000000,5.3478310
34210934.,88.000000,4.9941303
34210934.,89.000000,5.7719023
34210934.,90.000000,6.4137223
34210934.,91.000000,6.8377655
34210935.,81.000000,6.9435378
34210935.,82.000000,5.5829519
34210935.,83.000000,6.3893443
34210935.,84.000000,5.6980493
34210935.,85.000000,5.7887083
34210935.,86.000000,6.7328641
34210935.,87.000000,6.4506505
34210935.,88.000000,5.6420158
34210935.,89.000000,4.5683008
34210935.,90.000000,5.1166953
34210935.,91.000000,9.0293332
34210936.,81.000000,7.5867012
34210936.,82.000000,7.2179274
34210936.,83.000000,7.4319695
34210936.,84.000000,6.0641957
34210936.,85.000000,5.8001516
34210936.,86.000000,4.7243151
34210936.,87.000000,5.0968014
34210936.,88.000000,4.8903546
34210936.,89.000000,5.6224114
34210936.,90.000000,6.3801865
34210937.,81.000000,4.3739700
34210937.,82.000000,5.4314584
34210937.,83.000000,4.7574540
34210937.,84.000000,4.0964933
34210937.,85.000000,4.1862168
34210937.,86.000000,3.2585889
34210937.,87.000000,3.3748979
34210937.,88.000000,3.4062747
34210937.,89.000000,3.7975791
34210937.,90.000000,4.1136207
34210937.,91.000000,3.8188076
34210938.,81.000000,7.1392938
34210938.,82.000000,5.8360672
34210938.,83.000000,4.9147461
34210938.,84.000000,5.4073076
34210938.,85.000000,5.2870812
34210938.,86.000000,5.4071980
34210938.,87.000000,4.2199263
34210938.,88.000000,3.1342179
34210939.,81.000000,5.6071903
34210939.,82.000000,5.2247407
34210939.,83.000000,5.3505227
34210939.,84.000000,5.0012581
34210939.,85.000000,4.0256221
34210939.,86.000000,4.7473284
34210939.,87.000000,3.6040343
34210939.,88.000000,4.4509403
34210939.,89.000000,4.0175143
34210939.,90.000000,4.7834675
34210939.,91.000000,5.0086844
34210940.,81.000000,5.3290856
34210940.,82.000000,5.2030565
34210940.,83.000000,5.5346134
34210940.,84.000000,5.9327220
34210940.,85.000000,6.3275415
34210940.,86.000000,5.6137364
34210940.,87.000000,5.0855454
34210940.,88.000000,5.0208858
34210940.,89.000000,5.0693807
34210940.,90.000000,4.5120063
34210940.,91.000000,4.7207895
34210941.,81.000000,4.6458260
34210941.,82.000000,4.2751171
34210941.,83.000000,4.5173042
34210941.,84.000000,4.3194370
34210941.,85.000000,4.4406857
34210941.,86.000000,4.6592636
34210941.,87.000000,4.8424108
34210941.,88.000000,5.7655683
34210941.,89.000000,6.9459109
34210941.,90.000000,6.7149690
34210941.,91.000000,7.6353227
34210942.,81.000000,3.6213381
34210942.,82.000000,4.7480324
34210942.,83.000000,8.0490841
34210942.,84.000000,4.7827411
34210942.,85.000000,4.2569613
34210943.,81.000000,6.2698504
34210943.,82.000000,6.2787989
34210943.,83.000000,6.6534914
34210943.,84.000000,7.0388244
34210943.,85.000000,7.2563241
34210943.,86.000000,7.0232697
34210943.,87.000000,7.2558306
34210943.,88.000000,6.4982301
34210943.,89.000000,6.4279696
34210943.,90.000000,8.6155585
34210943.,91.000000,6.8841123
34210944.,81.000000,7.6134175
34210944.,82.000000,7.3076988
34210944.,83.000000,6.5988582
34210944.,84.000000,6.2782711
34210944.,85.000000,6.1271761
34210944.,86.000000,5.8824655
34210944.,87.000000,6.0093135
34210944.,88.000000,5.7569211
34210944.,89.000000,5.4133793
34210944.,90.000000,5.5439389
34210944.,91.000000,5.5709558
34210945.,81.000000,7.1197907
34210946.,81.000000,5.1548229
34210946.,82.000000,4.9326971
34210946.,83.000000,4.7224287
34210946.,84.000000,5.1056443
34210946.,85.000000,4.9650067
34210946.,86.000000,5.3121705
34210946.,87.000000,4.8332279
34210946.,88.000000,4.8495495
34210946.,89.000000,4.7179991
34210946.,90.000000,4.5827213
34210946.,91.000000,4.7646138
34210947.,81.000000,9.2534647
34210947.,82.000000,6.8616151
34210947.,83.000000,7.4816086
34210947.,84.000000,7.0745939
34210947.,85.000000,9.0292308
34210947.,86.000000,7.5050849
34210947.,87.000000,10.140008
34210947.,88.000000,9.0568299
34210947.,89.000000,6.5078775
34210947.,90.000000,5.3712929
34210947.,91.000000,6.0305930
34210948.,81.000000,4.8450413
34210948.,82.000000,3.8676957
34210948.,83.000000,4.7877490
34210948.,84.000000,5.0188070
34210948.,85.000000,6.3693003
34210948.,86.000000,6.6468413
34210948.,87.000000,7.8624642
34210948.,88.000000,7.3521859
34210948.,89.000000,7.7732485
34210949.,81.000000,6.1033088
34210949.,82.000000,6.0562007
34210949.,83.000000,6.3299360
34210949.,84.000000,5.9733567
34210949.,85.000000,5.0025341
34210949.,86.000000,4.8619570
34210949.,87.000000,5.6335170
34210949.,88.000000,5.4099369
34210949.,89.000000,4.4327328
34210949.,90.000000,5.9638174
34210949.,91.000000,6.0945683
34210950.,81.000000,5.7448814
34210950.,82.000000,7.1568102
34210950.,83.000000,5.9363252
34210950.,84.000000,7.2248946
34210950.,86.000000,6.4062374
34210950.,87.000000,5.8201685
34210950.,88.000000,5.2860123
34210950.,89.000000,5.2828310
34210950.,90.000000,5.3881931
34210950.,91.000000,5.3512142
34210951.,81.000000,6.8758463
34210951.,82.000000,5.8748428
34210951.,83.000000,6.1620014
34210951.,84.000000,4.8955679
34210951.,85.000000,5.4287355
34210951.,86.000000,4.1509514
34210951.,87.000000,5.2616469
34210951.,88.000000,4.6272619
34210951.,89.000000,6.3189357
34210951.,90.000000,3.8994477
34210951.,91.000000,4.9486658
34210952.,81.000000,7.3800901
34210952.,82.000000,8.0883165
34210952.,83.000000,7.3986307
34210952.,84.000000,7.2809154
34210952.,85.000000,5.5336915
34210952.,86.000000,5.3996839
34210952.,87.000000,4.8353473
34210952.,88.000000,5.2246644
34210952.,89.000000,6.9494294
34210952.,90.000000,4.6622645
34210952.,91.000000,4.6978634
34210953.,81.000000,4.2365006
34210953.,82.000000,4.8278177
34210953.,83.000000,4.8012263
34210953.,84.000000,4.7613290
34210953.,85.000000,4.9338228
34210953.,86.000000,4.4897293
34210953.,87.000000,5.1904717
34210954.,81.000000,4.6587210
34210954.,82.000000,4.1476064
34210954.,83.000000,4.7057060
34210954.,84.000000,4.0883854
34210954.,85.000000,4.2841066
34210954.,86.000000,4.7005658
34210954.,87.000000,4.7888560
